event_id,as_of,realized_net_pnl_delta_dollars,realized_net_pnl_delta_bps,within_event_drawdown_delta_bps,early_factor_imbalance_delta_pp,late_early_ratio_delta,urgent_start_delta_days,small_start_delta_days
event_01,2027-01-01 16:00:00,104927.17129204143,2.153677571675722,0.7829992083822681,1.1841218201150507,0.1771110655408139,0.0,0.0
event_02,2027-01-20 16:00:00,606945.1884778291,12.457824065636885,-12.457824065636885,1.2347542821330002,0.34917823253307967,0.0,8.0
event_03,2027-02-08 16:00:00,-197420.76915659406,-4.052150434248645,2.9586601565669,1.2573582114713768,0.16392440998187308,0.0,0.0
event_04,2027-02-25 16:00:00,-47229.99618798075,-0.9694169989322745,0.942702451451737,0.618064644600036,0.316207191241759,0.0,9.0
event_05,2027-03-16 16:00:00,-111428.6503961524,-2.287123366095088,3.1730943507511213,-0.5865426625606993,0.42803490584973525,0.0,5.0
event_06,2027-04-02 16:00:00,279965.2716330788,5.746413621368612,-8.677247552558548,1.0239948639354086,0.16892487173410187,0.0,1.0
event_07,2027-04-21 16:00:00,24975.72852624557,0.5126381060395229,-1.2323205249367852,1.0388387886324404,0.1563467505821432,0.0,1.0
event_08,2027-05-10 16:00:00,-307472.59530258295,-6.311013860890451,5.884701508206575,1.0896904567497785,0.15458883914659727,0.0,1.0
event_09,2027-05-27 16:00:00,282247.1796337757,5.793250813501118,2.0907898344707836,3.178605980846054,0.0003411185646408077,0.0,0.0
event_10,2027-06-15 16:00:00,127953.05156989163,2.6262941619435907,-3.0544854478003387,0.6754825071413446,0.45877300676839583,0.0,0.0
event_11,2027-07-02 16:00:00,96586.68405182031,1.982485304840317,-0.2462797282750806,0.48570503917717733,0.32515730483379823,0.0,0.0
event_12,2027-07-21 16:00:00,-236231.31705714576,-4.8487544551959445,3.2467791597603934,1.2477161066474451,0.35957879873079435,0.0,0.0
