event_id,as_of,information_cutoff,status,eligible_training_event_count,eligible_training_event_ids,latest_training_realized_available_at,ridge_multiplier,ridge_penalty,cross_validated_rmse,residual_standard_error,cv_rmse_multiplier_0.01,cv_rmse_multiplier_0.1,cv_rmse_multiplier_1,cv_rmse_multiplier_10,cv_rmse_multiplier_100
alpha_event_01,2020-01-02 16:00:00,2020-01-02 16:00:00,raw_fallback,0,,,,,,,,,,,
alpha_event_02,2020-01-16 16:00:00,2020-01-16 16:00:00,raw_fallback,1,alpha_event_01,2020-01-10 20:00:00,,,,,,,,,
alpha_event_03,2020-01-30 16:00:00,2020-01-30 16:00:00,raw_fallback,2,alpha_event_01|alpha_event_02,2020-01-24 20:00:00,,,,,,,,,
alpha_event_04,2020-02-13 16:00:00,2020-02-13 16:00:00,raw_fallback,3,alpha_event_01|alpha_event_02|alpha_event_03,2020-02-07 20:00:00,,,,,,,,,
alpha_event_05,2020-02-27 16:00:00,2020-02-27 16:00:00,calibrated,4,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04,2020-02-21 20:00:00,0.1,0.18064516129032265,9.095805816882786e-05,9.095805816882786e-05,9.150001135141627e-05,9.095805816882786e-05,9.538514803843588e-05,0.00013475761325170647,0.0001774989609259799
alpha_event_06,2020-03-12 16:00:00,2020-03-12 16:00:00,calibrated,5,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05,2020-03-06 20:00:00,0.1,0.22580645161290325,8.807860316355726e-05,8.807860316355726e-05,8.838238541534076e-05,8.807860316355726e-05,9.285547935478086e-05,0.00013419701223787393,0.00017887610229353095
alpha_event_07,2020-03-26 16:00:00,2020-03-26 16:00:00,calibrated,6,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06,2020-03-20 20:00:00,0.1,0.2709677419354838,8.790689500368913e-05,8.790689500368913e-05,8.8296071221216e-05,8.790689500368913e-05,9.236522252070934e-05,0.00013279559996432253,0.0001763713222318894
alpha_event_08,2020-04-09 16:00:00,2020-04-09 16:00:00,calibrated,7,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06|alpha_event_07,2020-04-03 20:00:00,0.1,0.31612903225806444,8.705845940344858e-05,8.705845940344858e-05,8.754841912377821e-05,8.705845940344858e-05,9.12848927753759e-05,0.00013144020102183663,0.00017504965842391813
alpha_event_09,2020-04-23 16:00:00,2020-04-23 16:00:00,calibrated,8,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06|alpha_event_07|alpha_event_08,2020-04-17 20:00:00,0.1,0.361290322580645,8.769028051253652e-05,8.769028051253652e-05,8.797848419532274e-05,8.769028051253652e-05,9.249605064160724e-05,0.00013309646874711624,0.0001769954344783142
alpha_event_10,2020-05-07 16:00:00,2020-05-07 16:00:00,calibrated,9,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06|alpha_event_07|alpha_event_08|alpha_event_09,2020-05-01 20:00:00,0.1,0.40645161290322557,8.79542214449672e-05,8.79542214449672e-05,8.819708670113059e-05,8.79542214449672e-05,9.278664696310229e-05,0.00013306589329934522,0.00017630283323466652
alpha_event_11,2020-05-21 16:00:00,2020-05-21 16:00:00,calibrated,10,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06|alpha_event_07|alpha_event_08|alpha_event_09|alpha_event_10,2020-05-15 20:00:00,0.1,0.4516129032258066,8.941638421842552e-05,8.941638421842552e-05,8.957186524761139e-05,8.941638421842552e-05,9.446175595648188e-05,0.00013431423536570052,0.00017739523963552857
alpha_event_12,2020-06-04 16:00:00,2020-06-04 16:00:00,calibrated,11,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06|alpha_event_07|alpha_event_08|alpha_event_09|alpha_event_10|alpha_event_11,2020-05-29 20:00:00,0.1,0.49677419354838703,8.91366307635186e-05,8.91366307635186e-05,8.91940343890482e-05,8.91366307635186e-05,9.403185154053318e-05,0.00013373662076809597,0.0001769544417491999
alpha_event_13,2020-06-18 16:00:00,2020-06-18 16:00:00,calibrated,12,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06|alpha_event_07|alpha_event_08|alpha_event_09|alpha_event_10|alpha_event_11|alpha_event_12,2020-06-12 20:00:00,0.01,0.05419354838709671,8.942348028242314e-05,8.942348028242314e-05,8.942348028242314e-05,8.948534239562734e-05,9.434753287759209e-05,0.00013378103633132846,0.0001767795273503564
alpha_event_14,2020-07-02 16:00:00,2020-07-02 16:00:00,calibrated,13,alpha_event_01|alpha_event_02|alpha_event_03|alpha_event_04|alpha_event_05|alpha_event_06|alpha_event_07|alpha_event_08|alpha_event_09|alpha_event_10|alpha_event_11|alpha_event_12|alpha_event_13,2020-06-26 20:00:00,0.1,0.587096774193548,8.967360030253733e-05,8.967360030253733e-05,8.967811052652022e-05,8.967360030253733e-05,9.422978832132821e-05,0.00013327880907177132,0.0001761185656857746
