gate,passed,baseline_or_limit,candidate,criterion
mean_pnl_within_1bp_per_event,True,-46.327182138264575,-39.265105623800245,candidate >= baseline - 1 bp/event
lower_event_pnl_volatility,False,67.69179833363786,74.91700671152516,candidate <= baseline - 0.05 bp
no_higher_loss_cvar,True,94.19251177069216,92.23942909571778,candidate <= baseline + 0.05 bp
no_higher_within_event_drawdown,True,76.72174970830686,68.53951881428479,candidate <= baseline + 0.05 bp
urgent_never_later,True,0.0,0.0,maximum paired start delta <= 0 days
small_never_earlier,True,0.0,0.0,minimum paired start delta >= 0 days
early_factor_within_1pp,True,5.05022415884517,3.4001059768562047,candidate <= baseline + 1 percentage point
late_early_ramp_preserves_90pct,True,1.554176669987783,3.6689265095813575,"candidate >= max(1.0, 90% of baseline)"
rank_ramp_preserved,True,0.6606060606060605,0.9757575757575756,candidate >= baseline - 0.10
nondecreasing_steps_preserved,True,6.5,8.0,candidate >= baseline - 1 transition
participation_caps_hard,False,0.05,0.18036008041235618,maximum cap excess <= 0.05 shares
direction_hard,False,0.001,0.0015548431884213983,maximum wrong-way trade <= 0.001 shares
completion_hard,True,0.001,1.576961949467659e-06,maximum terminal error <= 0.001 shares
lower_realized_impact_cost,True,569546.3245374782,500773.30707434413,candidate total realized impact cost < baseline
p95_realized_participation_preserved,True,0.09695253051959052,0.09040221666409322,candidate mean event p95 <= baseline + 0.5 percentage point
max_realized_participation_preserved,True,0.12618405925173604,0.11164408397706216,candidate maximum <= baseline + 1 percentage point
