policy_id,policy_aggressiveness,risk_frontier_fraction,liquidity_quantile,liquidity_shape_fraction,alpha_confidence,factor_stress_fraction,training_event_count,mean_net_pnl_bps,net_pnl_standard_error_bps,pnl_vol_bps,loss_cvar_95_bps,mean_within_event_drawdown_bps,realized_risk_bps,probability_profitable,hard_pass_all,behavior_pass_rate,risk_aversion,profile_confidence,net_pnl_lower_bound_bps,monotonic_policy_eligible,operationally_eligible,profit_eligible,realized_risk_budget_bps,within_realized_risk_budget,selected,event_id,as_of,information_cutoff,training_event_ids
policy_0050,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,8,1.3499600271137413,0.08711643899382769,0.24640249906143893,0.0,0.4145040674466783,0.4145040674466783,1.0,True,1.0,high,0.975,1.1792149442244584,True,True,True,0.49202203802344346,True,True,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0200,0.2,0.2,0.18000000000000002,0.8,0.9,0.8,8,1.9018364813452315,0.16549478363089865,0.46808993502563556,0.0,0.5602084423198961,0.5602084423198961,1.0,True,1.0,high,0.975,1.5774726657994214,True,True,True,0.49202203802344346,False,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0350,0.35,0.35,0.24,0.65,0.825,0.65,8,6.930052028172703,0.11744197162107255,0.3321760581167139,0.0,0.35476557019082294,0.35476557019082294,1.0,False,1.0,high,0.975,6.699869993522026,True,False,False,0.49202203802344346,True,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0500,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,8,3.0844803060526336,0.2944029060560074,0.8326971650929157,0.0,0.8531796025938381,0.8531796025938381,1.0,True,1.0,high,0.975,2.5074612132389302,True,True,True,0.49202203802344346,False,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0650,0.65,0.65,0.36,0.35,0.675,0.35,8,6.392561342950434,0.2001861173777872,0.566211844388958,0.0,0.4569086708235449,0.566211844388958,1.0,True,0.75,high,0.975,6.0002037626850635,True,False,False,0.49202203802344346,False,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0800,0.8,0.8,0.42000000000000004,0.19999999999999996,0.6,0.19999999999999996,8,4.18726853606845,0.477829128023653,1.3515048666959202,0.0,1.3625242867470302,1.3625242867470302,1.0,True,1.0,high,0.975,3.2507406543779114,True,True,True,0.49202203802344346,False,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_1000,1.0,1.0,0.5,0.0,0.5,0.0,8,3.6212506662935486,0.6779650694746745,1.9175747921326047,0.0,1.9648634789819814,1.9648634789819814,1.0,True,1.0,high,0.975,2.2924635473469914,True,True,True,0.49202203802344346,False,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0050,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,8,1.3499600271137413,0.08711643899382769,0.24640249906143893,0.0,0.4145040674466783,0.4145040674466783,1.0,True,1.0,medium,0.75,1.2912008819388223,True,True,True,1.18968377321433,True,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0200,0.2,0.2,0.18000000000000002,0.8,0.9,0.8,8,1.9018364813452315,0.16549478363089865,0.46808993502563556,0.0,0.5602084423198961,0.5602084423198961,1.0,True,1.0,medium,0.75,1.7902119460752721,True,True,True,1.18968377321433,True,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
policy_0350,0.35,0.35,0.24,0.65,0.825,0.65,8,6.930052028172703,0.11744197162107255,0.3321760581167139,0.0,0.35476557019082294,0.35476557019082294,1.0,False,1.0,medium,0.75,6.85083862207147,True,False,False,1.18968377321433,True,False,policy_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,policy_event_01|policy_event_02|policy_event_03|policy_event_04|policy_event_05|policy_event_06|policy_event_07|policy_event_08
