event_id,strategy,plan_selection_policy,selected_plan_source,selection_reason,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,forecast_profit_floor_dollars,forecast_profit_floor_slack_dollars,forecast_alpha_floor_dollars,forecast_alpha_floor_slack_dollars,risk_aversion,liquidity_forecast_quantile,frontier_selected_inventory_risk_weight,inventory_risk_weight,risk_budget_dollars
event_97,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,4063492.0525478385
event_97,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,,,,,medium,0.25,9.120811753644233e-08,9.120811753644233e-08,4063492.0525478385
event_98,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,4004818.1641952028
event_98,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,,,,,medium,0.25,9.120811753644233e-08,9.120811753644233e-08,4004818.1641952028
event_99,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,3990723.6308354465
event_99,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,,,,,medium,0.25,9.120811753644233e-08,9.120811753644233e-08,3990723.6308354465
event_100,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,4.958874012952752e-08,4.958874012952752e-08,4343906.248726311
event_100,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,2.479437006476376e-08,0.5,,,,,medium,0.25,4.958874012952752e-08,4.958874012952752e-08,4343906.248726311
event_101,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,2.8273431340653847e-08,2.8273431340653847e-08,4310942.952646654
event_101,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.4136715670326924e-08,0.5,,,,,medium,0.25,2.8273431340653847e-08,2.8273431340653847e-08,4310942.952646654
event_102,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,3.0023526091194015e-08,3.0023526091194015e-08,4301849.653176926
event_102,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,1.5011763045597007e-08,0.5,,,,,medium,0.25,3.0023526091194015e-08,3.0023526091194015e-08,4301849.653176926
