candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,-42589.24546733829,294593.8325025907,49502.56577900073,-386685.6437489298,4315416.398436945,6479900.85527477,7883260.861579315,0.453125,event_97,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,-43063.36519726468,294312.586136684,49476.265485459466,-386852.2168194081,4271881.877385284,6386385.331093847,7905789.2848599795,0.453125,event_97,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,-44686.11961621774,293781.28201832395,49443.688594413805,-387911.0902289555,4200743.030682975,6338881.688437537,7950122.636170486,0.453125,event_97,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,-51361.94028592395,293416.7462296584,49360.96320643016,-394139.6497220125,4064220.7360399007,6304980.434191706,8009892.11416116,0.484375,event_97,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,-66584.05398205383,297562.3920178905,49241.764788920154,-413388.2107888645,3921115.0490872827,6331025.182240664,7997863.498477027,0.484375,event_97,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,-93201.50234889136,311735.1376555231,49123.43990289728,-454060.0799073117,3811567.7066587317,6154171.146937982,7950261.00636981,0.46875,event_97,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,-36991.15165082074,294438.1203448855,48999.67211439297,-380428.9441100992,4091006.7590881535,5947419.982209626,7565416.048036631,0.453125,event_97,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,-37520.63671466823,294065.52087764564,48981.17234957142,-380567.3299418853,4053541.5189569443,5986889.18808903,7592295.606124273,0.453125,event_97,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,-39288.170579972706,293143.3359169614,48960.029383365,-381391.5358802991,3995265.971815647,6055954.641592157,7628213.373873674,0.453125,event_97,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,-45564.60807664582,292393.5289496937,48897.25770816656,-386855.3947345061,3870094.27844513,6195768.756907601,7672369.90661965,0.46875,event_97,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,baseline_relative_second_moment,0.5,4.5604058768221165e-08,0.5,9.120811753644233e-08
