event_id,as_of,realized_net_pnl_delta_dollars,realized_net_pnl_delta_bps,realized_impact_cost_delta_dollars,within_event_drawdown_delta_bps,early_factor_imbalance_delta_pp,late_early_ratio_delta,daily_gross_spearman_delta,nondecreasing_transitions_delta,urgent_start_delta_days,small_start_delta_days,p95_realized_participation_delta,max_realized_participation_delta
event_97,2031-10-15 16:00:00,-25913.095056904946,-0.5318779773584765,-9639.165789546561,0.11886812971761174,-0.7818440419930712,0.6001512278670136,0.14545454545454561,1.0,0.0,0.0,-0.009198380746823054,-0.006348633122914379
event_98,2031-11-03 16:00:00,-204173.14884481765,-4.190746076453564,-12512.166126111813,-4.646960951739899,-1.9909162326483818,0.6463302961613024,0.10909090909090913,1.0,0.0,0.0,-0.0017546112496222288,-0.0003194849997113919
event_99,2031-11-20 16:00:00,41525.227710245876,0.8523240498818936,-15436.086801078462,-0.6231509608046295,-1.9420936238631774,0.5914816869160584,0.09696969696969704,2.0,0.0,0.0,0.002799850589865871,-0.025499418786729136
event_100,2031-12-09 16:00:00,201153.8126443443,4.128772837527592,-21743.805681280617,-3.635182338509072,-1.229520548405211,0.3101746995330301,0.509090909090909,1.0,0.0,0.0,-0.010594103304813876,-0.005949526617483769
event_101,2031-12-26 16:00:00,-546739.8538096789,-11.222082385256133,-28040.09814616188,0.23331629811765708,-1.7109819155517254,0.4270829263807312,0.5333333333333332,1.0,0.0,0.0,-0.013279759714130077,-0.015130330039809958
event_102,2032-01-14 16:00:00,-452037.84397800826,-9.278280869827753,-22117.230039208953,-12.553892980059448,-1.383307268950853,0.39895318867892704,0.4969696969696969,0.0,0.0,0.0,-0.00782536963778685,-0.0036824131818442157
event_103,2032-02-02 16:00:00,43647.7687362947,0.8958901628960323,-29914.0913141669,-3.72770476453276,-1.8415388135541368,0.3563918120949121,0.5212121212121211,1.0,0.0,0.0,-0.008497941424817551,-0.024287819503112873
event_104,2032-02-19 16:00:00,-127064.90958659002,-2.6080646466869872,-31218.8044753063,-3.4890840124745885,-1.1502847771503282,0.3268188681556631,0.43636363636363634,0.0,0.0,0.0,-0.010111217823535523,-0.012775992673434905
event_105,2032-03-09 16:00:00,-73696.40730384504,-1.5126520382562596,-28616.73327353137,-5.254362605356221,-1.3912954181003183,0.37798495631009454,0.5212121212121212,2.0,0.0,0.0,-0.0029175785810776483,-0.007236393013233922
event_106,2032-03-26 16:00:00,391826.38309035613,8.042413446025364,-20646.717132147285,-9.197404418904682,-2.012398193816506,0.3857033089499601,0.5818181818181818,2.0,0.0,0.0,-0.005383553198352875,-0.015050220839136902
event_107,2032-04-14 16:00:00,65766.9837173582,1.3498970385336264,-17340.020651460625,-4.478187615050448,-1.7767153084481206,0.6421087776207912,0.18181818181818177,1.0,0.0,0.0,-0.006618022894564368,-0.0017817360358122203
event_108,2032-05-03 16:00:00,-796195.4367629057,-16.342270869517762,-28475.502363723994,-3.304797695162293,-3.359112214711759,0.5482575281293574,0.5696969696969696,1.0,0.0,0.0,-0.00987546436373142,-0.013190396477355468
