event_id,as_of,information_cutoff,realized_available_at,capacity_pressure,alpha_cost_ratio,liquidity_ramp_strength,factor_concentration,forecast_uncertainty_ratio,opportunity_score
context_event_01,2021-01-04 16:00:00,2021-01-04 16:00:00,2021-01-11 16:00:00,0.7541582897411416,0.9967967224520291,0.87562657968179,0.1989848166062666,0.435246061715125,1.1085947512685514
context_event_02,2021-01-18 16:00:00,2021-01-18 16:00:00,2021-01-25 16:00:00,0.5294837275888513,1.3073387808543626,1.5882514302042352,0.17133561699319144,1.0389002379574936,-1.1424084875570966
context_event_03,2021-02-01 16:00:00,2021-02-01 16:00:00,2021-02-08 16:00:00,0.9493709738081823,1.0792598575477124,1.718296757494728,0.09592816650331772,0.9833703105451375,0.39665417226138766
context_event_04,2021-02-15 16:00:00,2021-02-15 16:00:00,2021-02-22 16:00:00,0.40445229594571813,0.2749914058941557,2.38939631865976,0.08481374459234532,0.30513516008352237,-1.4920377058988534
context_event_05,2021-03-01 16:00:00,2021-03-01 16:00:00,2021-03-08 16:00:00,0.8443609916696797,0.5693596273799042,2.3633693209907256,0.16813920855119513,0.7036767891186269,-1.0820902981364124
context_event_06,2021-03-15 16:00:00,2021-03-15 16:00:00,2021-03-22 16:00:00,0.5356254615765936,1.4100894617481572,0.9372370786106958,0.08632052809355707,0.6706272676194288,1.0262828746776418
context_event_07,2021-03-29 16:00:00,2021-03-29 16:00:00,2021-04-05 16:00:00,0.5500598721789038,0.33048418407949276,0.819449394501465,0.17623217170713673,0.22002066471510803,0.3249286937211753
context_event_08,2021-04-12 16:00:00,2021-04-12 16:00:00,2021-04-19 16:00:00,0.8239563480393243,1.2904495467645622,1.558402707936765,0.1986739135445606,0.2680403916506191,1.3236224411940838
context_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,2021-05-03 16:00:00,0.7050094237074503,0.38109553138709457,0.832762696736029,0.26768747910504886,0.5312867750708584,-0.37910670750554964
context_event_10,2021-05-10 16:00:00,2021-05-10 16:00:00,2021-05-17 16:00:00,0.7472046598727212,0.8412572550381535,1.4951383018599327,0.09389404954488491,1.0180587764008964,-0.3653227538830114
context_event_11,2021-05-24 16:00:00,2021-05-24 16:00:00,2021-05-31 16:00:00,0.7857167985842045,1.7849265421287364,2.4291548736020205,0.263325755335735,0.592720948240019,-0.24717083941628382
context_event_12,2021-06-07 16:00:00,2021-06-07 16:00:00,2021-06-14 16:00:00,0.5813235082416521,0.8217464331568004,1.3973887579318476,0.2361891781297315,0.49647350938434115,-0.5796639208283481
context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,2021-06-28 16:00:00,0.77117578096454,1.171320887090055,2.4212078597858353,0.21957645019642108,0.42095177538898715,-0.36994211881512984
context_event_14,2021-07-05 16:00:00,2021-07-05 16:00:00,2021-07-12 16:00:00,0.697843113447849,0.89087777730701,1.8807097579590708,0.07690270072181764,0.2727428763511405,0.8510141502467147
context_event_15,2021-07-19 16:00:00,2021-07-19 16:00:00,2021-07-26 16:00:00,0.5845055988166555,2.3236351541056304,1.3028020933389524,0.0587259277030341,1.0431840440590598,1.248916010571914
context_event_16,2021-08-02 16:00:00,2021-08-02 16:00:00,2021-08-09 16:00:00,0.26787868650214236,1.8249110708205287,2.0338435537401574,0.2166324932543014,0.9037287790630656,-1.8337232600715758
context_event_17,2021-08-16 16:00:00,2021-08-16 16:00:00,2021-08-23 16:00:00,0.9069454998306276,2.981355704024981,1.2109459528881121,0.2790113345673208,1.0644156432037915,1.7436400330612782
context_event_18,2021-08-30 16:00:00,2021-08-30 16:00:00,2021-09-06 16:00:00,0.8533865799707693,0.5454345114685738,1.0944333155124881,0.25053654193165675,0.45655216889189504,0.2878150223011823
context_event_19,2021-09-13 16:00:00,2021-09-13 16:00:00,2021-09-20 16:00:00,0.3877957634950681,1.2102002994937804,1.5157548156178948,0.058589884658588706,1.0548993278993783,-0.9657892707674028
context_event_20,2021-09-27 16:00:00,2021-09-27 16:00:00,2021-10-04 16:00:00,0.7392245209995438,0.68717467144713,1.1424477380326348,0.1276129981427364,0.30469324902063544,1.1388855690571744
context_event_21,2021-10-11 16:00:00,2021-10-11 16:00:00,2021-10-18 16:00:00,0.31876785561135185,1.194947213885257,1.4927081509190294,0.26600147716903194,0.25612713610699034,-0.7480716665531374
context_event_22,2021-10-25 16:00:00,2021-10-25 16:00:00,2021-11-01 16:00:00,0.377459819620688,1.9763225513190577,1.1321267157513881,0.1601172142924922,1.0371195301662068,-0.2756140519075665
context_event_23,2021-11-08 16:00:00,2021-11-08 16:00:00,2021-11-15 16:00:00,0.3246793694777075,1.4897250163426707,1.617059003596843,0.05774538532883032,0.7062341654231927,-0.1806534194290835
context_event_24,2021-11-22 16:00:00,2021-11-22 16:00:00,2021-11-29 16:00:00,0.38835795218928415,0.9215873319763905,2.1720288472031384,0.26187433037271574,0.8758816345375072,-2.8930351125774303
context_event_25,2021-12-06 16:00:00,2021-12-06 16:00:00,2021-12-13 16:00:00,0.8309097259418781,0.8433970752454626,1.0912514625201417,0.10034623578547668,0.4122258299602818,1.6131549633952802
context_event_26,2021-12-20 16:00:00,2021-12-20 16:00:00,2021-12-27 16:00:00,0.46615411905145326,2.539253992236314,1.0727929686192066,0.08813025163944956,0.6657381757971015,2.0044942871383884
context_event_27,2022-01-03 16:00:00,2022-01-03 16:00:00,2022-01-10 16:00:00,0.8834206939331273,2.234461670386145,0.8481234950973671,0.11610117380889066,0.341772938524527,3.755335819608451
context_event_28,2022-01-17 16:00:00,2022-01-17 16:00:00,2022-01-24 16:00:00,0.7415520246546768,1.6871292745698114,2.494679872049254,0.19727000381968907,0.2250598916671386,0.6375275431234776
context_event_29,2022-01-31 16:00:00,2022-01-31 16:00:00,2022-02-07 16:00:00,0.9149961682639743,0.9085301956870508,1.384324698074474,0.14499291456666769,0.49804319040317946,1.1839542174040356
context_event_30,2022-02-14 16:00:00,2022-02-14 16:00:00,2022-02-21 16:00:00,0.5343897322551465,1.2554929997018132,2.46808105350065,0.22122943369607434,0.960983479741282,-2.267841281136803
context_event_31,2022-02-28 16:00:00,2022-02-28 16:00:00,2022-03-07 16:00:00,0.6597224724371683,1.2537270405418415,0.905846069715738,0.18755007472828483,0.7290870261636532,0.511310251768063
context_event_32,2022-03-14 16:00:00,2022-03-14 16:00:00,2022-03-21 16:00:00,0.38968240773219964,0.4719312306958975,1.819277502367152,0.06294417502549664,0.2964137455802112,-0.5422500870332249
context_event_33,2022-03-28 16:00:00,2022-03-28 16:00:00,2022-04-04 16:00:00,0.8963243182526204,2.7889946303618562,1.9708318150098882,0.21050902524842113,0.946578386673187,1.3578096337758154
context_event_34,2022-04-11 16:00:00,2022-04-11 16:00:00,2022-04-18 16:00:00,0.8104783091166973,1.2237353075894417,1.957958302340313,0.12400155422185165,0.5315530484548776,0.6715753362729868
context_event_35,2022-04-25 16:00:00,2022-04-25 16:00:00,2022-05-02 16:00:00,0.8395262860850228,1.0039041047552064,1.561482451669076,0.15011571245544236,0.40335234939347153,1.0393755613045266
context_event_36,2022-05-09 16:00:00,2022-05-09 16:00:00,2022-05-16 16:00:00,0.49424350652920923,0.7590426445163511,1.9837159272895961,0.20050596361395268,0.48788824134522635,-1.3164843800356663
context_event_37,2022-05-23 16:00:00,2022-05-23 16:00:00,2022-05-30 16:00:00,0.39457476454403645,1.7345405542787784,2.197345759865992,0.2385026718561863,0.5753196610554073,-1.1299127707949057
context_event_38,2022-06-06 16:00:00,2022-06-06 16:00:00,2022-06-13 16:00:00,0.3301704867212052,2.1724704394078485,2.324723565154166,0.10727677694928837,0.6956263095857732,-0.38858496646982577
context_event_39,2022-06-20 16:00:00,2022-06-20 16:00:00,2022-06-27 16:00:00,0.5385441880189612,0.6203381253166258,1.2551506483312094,0.2494865555455174,0.3056004891180556,-0.47546434340220023
context_event_40,2022-07-04 16:00:00,2022-07-04 16:00:00,2022-07-11 16:00:00,0.68742418637137,0.224827612184299,2.312685724094475,0.17455934811420948,0.8592969775976361,-2.324466109825841
