policy_id,policy_aggressiveness,risk_frontier_fraction,liquidity_quantile,liquidity_shape_fraction,alpha_confidence,factor_stress_fraction,training_event_count,mean_net_pnl_bps,net_pnl_standard_error_bps,pnl_vol_bps,loss_cvar_95_bps,mean_within_event_drawdown_bps,realized_risk_bps,probability_profitable,hard_pass_all,behavior_pass_rate,risk_aversion,profile_confidence,net_pnl_lower_bound_bps,monotonic_policy_eligible,operationally_eligible,profit_eligible,realized_risk_budget_bps,within_realized_risk_budget,selected,event_id,as_of,information_cutoff,training_event_ids
policy_0050,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,12,1.8885013031993345,0.09433948384023562,0.3268015583422223,0.0,0.32743007705044685,0.32743007705044685,1.0,True,1.0,high,0.975,1.7035993125523743,True,True,True,0.4084478423748115,True,True,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0200,0.2,0.2,0.18000000000000002,0.8,0.9,0.8,12,2.3129955110711005,0.0918151497443062,0.3180570085233659,0.0,0.47690959024622187,0.47690959024622187,1.0,True,1.0,high,0.975,2.1330411243371086,True,True,True,0.4084478423748115,False,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0350,0.35,0.35,0.24,0.65,0.825,0.65,12,5.822007993677588,0.17475183136011643,0.6053581012628598,0.0,0.3281334051648287,0.6053581012628598,1.0,False,1.0,high,0.975,5.4795006979793435,True,False,False,0.4084478423748115,False,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0500,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,12,3.135489376672298,0.1923114711213315,0.6661864777209221,0.0,0.779976352014012,0.779976352014012,1.0,True,1.0,high,0.975,2.7585658194605736,True,True,True,0.4084478423748115,False,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0650,0.65,0.65,0.36,0.35,0.675,0.35,12,5.500735563776181,0.31109313561398344,1.0776582335386684,0.0,0.4307440339598174,1.0776582335386684,1.0,True,0.75,high,0.975,4.891004222135139,True,False,False,0.4084478423748115,False,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0800,0.8,0.8,0.42000000000000004,0.19999999999999996,0.6,0.19999999999999996,12,3.13318205115524,0.4119864214572579,1.4271628279849107,0.0,1.2297306477616181,1.4271628279849107,1.0,True,1.0,high,0.975,2.3257035029794753,True,True,True,0.4084478423748115,False,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_1000,1.0,1.0,0.5,0.0,0.5,0.0,12,2.886198505582474,0.5622772077545664,1.9477853835377401,0.10465652953070995,1.6778678960165687,1.9477853835377401,0.9166666666666666,True,1.0,high,0.975,1.7841554290557786,True,True,True,0.4084478423748115,False,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0050,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,12,1.8885013031993345,0.09433948384023562,0.3268015583422223,0.0,0.32743007705044685,0.32743007705044685,1.0,True,1.0,medium,0.75,1.8248702883103067,True,True,True,1.1376077302940935,True,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0200,0.2,0.2,0.18000000000000002,0.8,0.9,0.8,12,2.3129955110711005,0.0918151497443062,0.3180570085233659,0.0,0.47690959024622187,0.47690959024622187,1.0,True,1.0,medium,0.75,2.2510671336558477,True,True,True,1.1376077302940935,True,True,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
policy_0350,0.35,0.35,0.24,0.65,0.825,0.65,12,5.822007993677588,0.17475183136011643,0.6053581012628598,0.0,0.3281334051648287,0.6053581012628598,1.0,False,1.0,medium,0.75,5.7041396745971955,True,False,False,1.1376077302940935,True,False,context_event_13,2021-06-21 16:00:00,2021-06-21 16:00:00,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08|context_event_09|context_event_10|context_event_11|context_event_12
