event_id,as_of,information_cutoff,risk_aversion,status,economically_viable,training_event_count,training_event_ids,selected_policy_id,fallback_policy_id,profile_confidence,net_pnl_lower_bound_bps,realized_risk_bps,realized_risk_budget_bps,policy_aggressiveness,risk_frontier_fraction,liquidity_quantile,liquidity_shape_fraction,alpha_confidence,factor_stress_fraction,selected_net_pnl_bps,fallback_net_pnl_bps,selected_within_event_drawdown_bps,fallback_within_event_drawdown_bps,selected_hard_pass,selected_behavior_pass
context_event_01,2021-01-04 16:00:00,2021-01-04 16:00:00,high,fallback_warmup,False,0,,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.374082825837319,1.374082825837319,0.4646214215067512,0.4646214215067512,True,True
context_event_01,2021-01-04 16:00:00,2021-01-04 16:00:00,medium,fallback_warmup,False,0,,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,2.8793595106507732,2.8793595106507732,0.8350217216427334,0.8350217216427334,True,True
context_event_01,2021-01-04 16:00:00,2021-01-04 16:00:00,low,fallback_warmup,False,0,,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,3.3412031875989667,3.3412031875989667,1.8130282329727656,1.8130282329727656,True,True
context_event_02,2021-01-18 16:00:00,2021-01-18 16:00:00,high,fallback_warmup,False,1,context_event_01,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,2.335909824281549,2.335909824281549,0.3216120922347256,0.3216120922347256,True,True
context_event_02,2021-01-18 16:00:00,2021-01-18 16:00:00,medium,fallback_warmup,False,1,context_event_01,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,3.3042109487681737,3.3042109487681737,0.7238542551654555,0.7238542551654555,True,True
context_event_02,2021-01-18 16:00:00,2021-01-18 16:00:00,low,fallback_warmup,False,1,context_event_01,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,2.193113243038496,2.193113243038496,1.680156090173732,1.680156090173732,True,True
context_event_03,2021-02-01 16:00:00,2021-02-01 16:00:00,high,fallback_warmup,False,2,context_event_01|context_event_02,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.7688605391423462,1.7688605391423462,0.3077061950404743,0.3077061950404743,True,True
context_event_03,2021-02-01 16:00:00,2021-02-01 16:00:00,medium,fallback_warmup,False,2,context_event_01|context_event_02,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,3.0103600887466957,3.0103600887466957,0.785698555920889,0.785698555920889,True,True
context_event_03,2021-02-01 16:00:00,2021-02-01 16:00:00,low,fallback_warmup,False,2,context_event_01|context_event_02,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,3.2277501466481375,3.2277501466481375,1.6685320671500152,1.6685320671500152,True,True
context_event_04,2021-02-15 16:00:00,2021-02-15 16:00:00,high,fallback_warmup,False,3,context_event_01|context_event_02|context_event_03,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,2.384843182724348,2.384843182724348,0.26040030013598214,0.26040030013598214,True,True
context_event_04,2021-02-15 16:00:00,2021-02-15 16:00:00,medium,fallback_warmup,False,3,context_event_01|context_event_02|context_event_03,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,2.9793903467971536,2.9793903467971536,0.7884068114660147,0.7884068114660147,True,True
context_event_04,2021-02-15 16:00:00,2021-02-15 16:00:00,low,fallback_warmup,False,3,context_event_01|context_event_02|context_event_03,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,1.4435675108752997,1.4435675108752997,1.6135547895246127,1.6135547895246127,True,True
context_event_05,2021-03-01 16:00:00,2021-03-01 16:00:00,high,fallback_warmup,False,4,context_event_01|context_event_02|context_event_03|context_event_04,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,2.281892469326594,2.281892469326594,0.27385425516545553,0.27385425516545553,True,True
context_event_05,2021-03-01 16:00:00,2021-03-01 16:00:00,medium,fallback_warmup,False,4,context_event_01|context_event_02|context_event_03|context_event_04,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,3.2270760483737337,3.2270760483737337,0.7801560901737322,0.7801560901737322,True,True
context_event_05,2021-03-01 16:00:00,2021-03-01 16:00:00,low,fallback_warmup,False,4,context_event_01|context_event_02|context_event_03|context_event_04,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,2.3416210106101287,2.3416210106101287,1.6164371388369418,1.6164371388369418,True,True
context_event_06,2021-03-15 16:00:00,2021-03-15 16:00:00,high,fallback_warmup,False,5,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.9379964802203604,1.9379964802203604,0.31134648741852905,0.31134648741852905,True,True
context_event_06,2021-03-15 16:00:00,2021-03-15 16:00:00,medium,fallback_warmup,False,5,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,4.51632424147662,4.51632424147662,0.7441799986476555,0.7441799986476555,True,True
context_event_06,2021-03-15 16:00:00,2021-03-15 16:00:00,low,fallback_warmup,False,5,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,6.924606392391089,6.924606392391089,1.650177027919522,1.650177027919522,True,True
context_event_07,2021-03-29 16:00:00,2021-03-29 16:00:00,high,fallback_warmup,False,6,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.7376721295983892,1.7376721295983892,0.33840681146601465,0.33840681146601465,True,True
context_event_07,2021-03-29 16:00:00,2021-03-29 16:00:00,medium,fallback_warmup,False,6,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,3.389805906743235,3.389805906743235,0.7135547895246129,0.7135547895246129,True,True
context_event_07,2021-03-29 16:00:00,2021-03-29 16:00:00,low,fallback_warmup,False,6,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,3.75890449097595,3.75890449097595,1.6837541583492996,1.6837541583492996,True,True
context_event_08,2021-04-12 16:00:00,2021-04-12 16:00:00,high,fallback_warmup,False,7,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.5661492779435273,1.5661492779435273,0.33015609017373215,0.33015609017373215,True,True
context_event_08,2021-04-12 16:00:00,2021-04-12 16:00:00,medium,fallback_warmup,False,7,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07,policy_0500,policy_0500,0.75,,,,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,3.9280216431852106,3.9280216431852106,0.7164371388369419,0.7164371388369419,True,True
context_event_08,2021-04-12 16:00:00,2021-04-12 16:00:00,low,fallback_warmup,False,7,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07,policy_1000,policy_1000,0.5,,,,1.0,1.0,0.5,0.0,0.5,0.0,5.700221794414514,5.700221794414514,1.6862978712580077,1.6862978712580077,True,True
context_event_09,2021-04-26 16:00:00,2021-04-26 16:00:00,high,fallback_warmup,False,8,context_event_01|context_event_02|context_event_03|context_event_04|context_event_05|context_event_06|context_event_07|context_event_08,policy_0050,policy_0050,0.975,,,,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.4997111774392293,1.4997111774392293,0.4438312040231525,0.4438312040231525,True,True
