candidate,fixture,solver,status,inventory_weight,residual_weight,factor_weight,impact_bps,adaptive_caps,objective,max_terminal_residual,max_capacity_violation,max_direction_violation,max_latest_start_floor_violation,early_factor_imbalance_pct,urgent_first_trade_max_day,medium_first_trade_min_day,medium_first_trade_max_day,small_first_trade_min_day,small_completion_day5_pct,urgent_median_execution_day,medium_median_execution_day,small_median_execution_day,urgency_median_gap_days,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,peak_daily_gross_pct,passes_global,passes_balance,passes_urgency,passes_ramp,passes_fixture
baseline_adaptive_residual,urgency_ramp,CLARABEL,optimal,0.0,1.0,1.0,5.0,True,8.460471313860863,1.4210854715202004e-14,1.920552605838566e-09,0.0,5.329070518200751e-15,0.0,1.0,1.0,1.0,1.0,79.81220506772658,5.0,4.0,4.0,-1.0,-0.9999999999999999,0.29970839997327614,67.06908103615623,4,13.413816228682911,True,True,False,False,False
baseline_adaptive_residual,factor_balance,CLARABEL,optimal,0.0,1.0,1.0,5.0,True,20.26066086650754,2.842170943040401e-14,1.638564839367973e-10,0.0,2.842170943040401e-14,9.761794539084363,1.0,1.0,1.0,,,5.0,4.0,,,-0.7939393939393938,0.3443730710488843,65.39653304234744,4,13.217768146839896,True,True,True,True,True
baseline_physical_residual,urgency_ramp,CLARABEL,optimal,0.0,1.0,1.0,5.0,False,7.958051275566963,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,1.9748624270507097e-15,1.0,1.0,1.0,1.0,99.85944251603485,5.0,3.0,1.0,-4.0,-0.9999999999999999,0.21628796751035903,74.03299978171967,0,19.514647691190063,True,True,False,False,False
baseline_physical_residual,factor_balance,CLARABEL,optimal,0.0,1.0,1.0,5.0,False,9.7336793398492,2.842170943040401e-14,1.4284657012808566e-08,5.867450861740112e-09,5.867450861740112e-09,49.99999999999999,1.0,4.0,4.0,,,5.0,7.0,,,-0.0303030303030303,0.9689207978824596,47.840909575328425,6,14.899891958109807,True,False,True,True,False
inventory_0.1__factor_0__impact_1,urgency_ramp,CLARABEL,optimal,0.1,0.0,0.0,1.0,False,1.2456594706370954,1.4210854715202004e-14,0.0,0.0,1.7763568394002505e-15,1.7060033654140122e-14,1.0,5.0,5.0,9.0,0.8142823483905574,6.0,8.0,10.0,4.0,0.9999999999999999,4.529599454364909,26.621255851830725,9,18.70024112858603,True,True,True,True,True
inventory_0.1__factor_0__impact_1,factor_balance,CLARABEL,optimal,0.1,0.0,0.0,1.0,False,0.6175942587947123,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,47.920955641308375,1.0,5.0,5.0,,,6.0,8.0,,,0.9999999999999999,3.9168381856385532,28.606481472879008,9,15.384615364126953,True,False,True,True,False
inventory_0.1__factor_0__impact_5,urgency_ramp,CLARABEL,optimal,0.1,0.0,0.0,5.0,False,1.434220218460036,1.4210854715202004e-14,0.0,0.0,0.0,7.425713323007267e-15,1.0,3.0,3.0,8.0,10.756976006505063,6.0,8.0,9.0,3.0,0.9999999999999999,3.62201797535333,30.43578721898208,9,16.84561562052019,True,True,False,True,False
inventory_0.1__factor_0__impact_5,factor_balance,CLARABEL,optimal,0.1,0.0,0.0,5.0,False,0.7095267874405305,2.842170943040401e-14,0.0,0.0,0.0,35.846792940014815,1.0,3.0,3.0,,,6.0,8.0,,,0.9999999999999999,3.2950681946714613,31.949579124963275,9,15.38461536620662,True,False,True,True,False
inventory_0.1__factor_0__impact_20,urgency_ramp,CLARABEL,optimal,0.1,0.0,0.0,20.0,False,2.07297072124357,1.4210854715202004e-14,2.0882987783465978e-08,0.0,6.21850020365855e-08,1.9181377415014968e-14,1.0,1.0,1.0,7.0,29.59073103092357,6.0,8.0,8.0,2.0,0.9999999999999999,2.1294818332926604,36.62492724886732,9,15.20619671455261,True,True,False,False,False
inventory_0.1__factor_0__impact_20,factor_balance,CLARABEL,optimal,0.1,0.0,0.0,20.0,False,1.0242758499038522,2.842170943040401e-14,8.21561663144621e-09,0.0,2.842170943040401e-14,22.439985982148023,1.0,1.0,1.0,,,6.0,8.0,,,0.9999999999999999,2.062403819648417,37.16604006985704,9,14.797057650564293,True,False,True,True,False
inventory_0.1__factor_1__impact_1,urgency_ramp,CLARABEL,optimal,0.1,0.0,1.0,1.0,False,1.2456594706370954,1.4210854715202004e-14,0.0,0.0,0.0,2.6547886143796415e-15,1.0,5.0,5.0,9.0,0.814282349365093,6.0,8.0,10.0,4.0,0.9999999999999999,4.529599454207953,26.621255851901143,9,18.70024112858471,True,True,True,True,True
inventory_0.1__factor_1__impact_1,factor_balance,CLARABEL,optimal,0.1,0.0,1.0,1.0,False,1.67354546673523,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,1.6116117100132812,1.0,1.0,1.0,,,6.0,4.0,,,0.07878787878787878,1.0307659498463928,52.14788463289733,6,14.887336775831912,True,True,True,True,True
inventory_0.1__factor_1__impact_5,urgency_ramp,CLARABEL,optimal,0.1,0.0,1.0,5.0,False,1.4342202184600361,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,3.835468910809827e-15,1.0,3.0,3.0,8.0,10.756976006544177,6.0,8.0,9.0,3.0,0.9999999999999999,3.622017975351412,30.435787218984995,9,16.845615620519876,True,True,False,True,False
inventory_0.1__factor_1__impact_5,factor_balance,CLARABEL,optimal,0.1,0.0,1.0,5.0,False,1.762978999171891,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,1.5040510866823391,1.0,1.0,1.0,,,6.0,4.0,,,0.12727272727272726,1.005567772303685,51.98532811894424,6,14.646965699088625,True,True,True,True,True
inventory_0.1__factor_1__impact_20,urgency_ramp,CLARABEL,optimal,0.1,0.0,1.0,20.0,False,2.0729707212435695,1.4210854715202004e-14,2.0882996665250175e-08,0.0,6.2185051774577e-08,2.902970569957062e-15,1.0,1.0,1.0,7.0,29.59073103092137,6.0,8.0,8.0,2.0,0.9999999999999999,2.129481833292705,36.624927248866996,9,15.20619671455275,True,True,False,False,False
inventory_0.1__factor_1__impact_20,factor_balance,CLARABEL,optimal,0.1,0.0,1.0,20.0,False,2.0823488655546316,1.4210854715202004e-14,0.0,0.0,0.0,0.8056810194546572,1.0,1.0,1.0,,,6.0,4.0,,,-0.35757575757575755,0.8423854924510308,51.82690624158488,6,13.310286211775129,True,True,True,True,True
inventory_0.1__factor_10__impact_1,urgency_ramp,CLARABEL,optimal,0.1,0.0,10.0,1.0,False,1.2456594706370945,1.4210854715202004e-14,0.0,0.0,0.0,1.4821018672639732e-15,1.0,5.0,5.0,9.0,0.8142823482481896,6.0,8.0,10.0,4.0,0.9999999999999999,4.529599454393016,26.621255851820425,9,18.700241128586228,True,True,True,True,True
inventory_0.1__factor_10__impact_1,factor_balance,CLARABEL,optimal,0.1,0.0,10.0,1.0,False,9.778955240353095,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,0.1660880910500573,1.0,1.0,1.0,,,6.0,4.0,,,0.10303030303030303,1.0031818774665309,53.667538657563256,6,15.333337271411605,True,True,True,True,True
inventory_0.1__factor_10__impact_5,urgency_ramp,CLARABEL,optimal,0.1,0.0,10.0,5.0,False,1.4342202184600357,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,2.3489501327865044e-15,1.0,3.0,3.0,8.0,10.756976006554995,6.0,8.0,9.0,3.0,0.9999999999999999,3.622017975350885,30.43578721898579,9,16.845615620519787,True,True,False,True,False
inventory_0.1__factor_10__impact_5,factor_balance,CLARABEL,optimal,0.1,0.0,10.0,5.0,False,9.87180072844364,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.1533869226093142,1.0,1.0,1.0,,,6.0,4.0,,,0.13939393939393938,0.9792446339011472,53.66100091216881,6,15.317091484811494,True,True,True,True,True
inventory_0.1__factor_10__impact_20,urgency_ramp,CLARABEL,optimal,0.1,0.0,10.0,20.0,False,2.072970721243569,1.4210854715202004e-14,2.0882994888893336e-08,0.0,6.218503756372229e-08,3.483564683948473e-15,1.0,1.0,1.0,7.0,29.590731030921468,6.0,8.0,8.0,2.0,0.9999999999999999,2.1294818332927026,36.62492724886701,9,15.206196714552737,True,True,False,False,False
inventory_0.1__factor_10__impact_20,factor_balance,CLARABEL,optimal,0.1,0.0,10.0,20.0,False,10.202598355519756,2.3305801732931286e-12,2.7013626890948217e-09,9.262290116929202e-10,3.196475972799817e-09,0.012048973425345394,1.0,1.0,1.0,,,6.0,4.0,,,-0.5272727272727272,0.8125785700097786,53.682210245777306,7,14.544682423200792,True,True,True,True,True
inventory_1__factor_0__impact_1,urgency_ramp,CLARABEL,optimal,1.0,0.0,0.0,1.0,False,11.489497071825824,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,3.397403559257913e-14,2.0,6.0,6.0,10.0,0.01618087514556795,6.0,8.0,10.0,4.0,0.9999999999999999,4.6648918238602555,25.300874851777728,9,20.82913968974013,True,True,True,True,True
inventory_1__factor_0__impact_1,factor_balance,CLARABEL,optimal,1.0,0.0,0.0,1.0,False,5.720922427150139,1.4210854715202004e-14,0.0,0.0,0.0,49.948708889067696,2.0,6.0,6.0,,,6.0,8.0,,,0.9999999999999999,3.997948329812316,27.245957327912837,9,15.384615373678574,True,False,True,True,False
