candidate,inventory_weight,residual_weight,factor_weight,impact_bps,ramp_spearman,late_early_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_max_day,medium_first_trade_min_day,small_first_trade_min_day,urgency_median_gap_days,early_factor_imbalance_pct,no_balance_imbalance_pct,balance_improvement_pct,peak_daily_gross_pct,passes_all
baseline_adaptive_residual,0.0,1.0,1.0,5.0,-0.9999999999999999,0.29970839997327614,67.06908103615623,4,1.0,1.0,1.0,-1.0,9.761794539084363,,,13.413816228682911,False
baseline_physical_residual,0.0,1.0,1.0,5.0,-0.9999999999999999,0.21628796751035903,74.03299978171967,0,1.0,1.0,1.0,-4.0,49.99999999999999,,,19.514647691190063,False
inventory_0.1__factor_0__impact_1,0.1,0.0,0.0,1.0,0.9999999999999999,4.529599454364909,26.621255851830725,9,1.0,5.0,9.0,4.0,47.920955641308375,47.920955641308375,0.0,18.70024112858603,False
inventory_0.1__factor_0__impact_5,0.1,0.0,0.0,5.0,0.9999999999999999,3.62201797535333,30.43578721898208,9,1.0,3.0,8.0,3.0,35.846792940014815,35.846792940014815,0.0,16.84561562052019,False
inventory_0.1__factor_0__impact_20,0.1,0.0,0.0,20.0,0.9999999999999999,2.1294818332926604,36.62492724886732,9,1.0,1.0,7.0,2.0,22.439985982148023,22.439985982148023,0.0,15.20619671455261,False
inventory_0.1__factor_1__impact_1,0.1,0.0,1.0,1.0,0.9999999999999999,4.529599454207953,26.621255851901143,9,1.0,5.0,9.0,4.0,1.6116117100132812,47.920955641308375,96.63693745576299,18.70024112858471,True
inventory_0.1__factor_1__impact_5,0.1,0.0,1.0,5.0,0.9999999999999999,3.622017975351412,30.435787218984995,9,1.0,3.0,8.0,3.0,1.5040510866823391,35.846792940014815,95.80422413464105,16.845615620519876,False
inventory_0.1__factor_1__impact_20,0.1,0.0,1.0,20.0,0.9999999999999999,2.129481833292705,36.624927248866996,9,1.0,1.0,7.0,2.0,0.8056810194546572,22.439985982148023,96.40961888258036,15.20619671455275,False
inventory_0.1__factor_10__impact_1,0.1,0.0,10.0,1.0,0.9999999999999999,4.529599454393016,26.621255851820425,9,1.0,5.0,9.0,4.0,0.1660880910500573,47.920955641308375,99.65341239792203,18.700241128586228,True
inventory_0.1__factor_10__impact_5,0.1,0.0,10.0,5.0,0.9999999999999999,3.622017975350885,30.43578721898579,9,1.0,3.0,8.0,3.0,0.1533869226093142,35.846792940014815,99.57210419669623,16.845615620519787,False
inventory_0.1__factor_10__impact_20,0.1,0.0,10.0,20.0,0.9999999999999999,2.1294818332927026,36.62492724886701,9,1.0,1.0,7.0,2.0,0.012048973425345394,22.439985982148023,99.94630578898342,15.206196714552737,False
inventory_1__factor_0__impact_1,1.0,0.0,0.0,1.0,0.9999999999999999,4.6648918238602555,25.300874851777728,9,2.0,6.0,10.0,4.0,49.948708889067696,49.948708889067696,0.0,20.82913968974013,False
inventory_1__factor_0__impact_5,1.0,0.0,0.0,5.0,0.9999999999999999,4.622801590141779,25.96767564561272,9,1.0,6.0,9.0,4.0,49.461667499563525,49.461667499563525,0.0,19.51464377348854,False
inventory_1__factor_0__impact_20,1.0,0.0,0.0,20.0,0.9999999999999999,4.296913539221205,27.89912695036454,9,1.0,5.0,8.0,4.0,44.203649731404326,44.203649731404326,0.0,17.857152516916535,False
inventory_1__factor_1__impact_1,1.0,0.0,1.0,1.0,0.9999999999999999,4.664891824374941,25.300874851142687,9,2.0,6.0,10.0,4.0,1.6129035908054978,49.948708889067696,96.77088031567015,20.829139689745244,True
inventory_1__factor_1__impact_5,1.0,0.0,1.0,5.0,0.9999999999999999,4.622801590123298,25.96767564566809,9,1.0,6.0,9.0,4.0,1.6129207471880327,49.461667499563525,96.7390489873754,19.514643773488245,True
inventory_1__factor_1__impact_20,1.0,0.0,1.0,20.0,0.9999999999999999,4.296913539197712,27.89912695038096,9,1.0,5.0,8.0,4.0,1.5954748033967192,44.203649731404326,96.3906265362898,17.857152516915733,True
inventory_1__factor_10__impact_1,1.0,0.0,10.0,1.0,0.9999999999999999,4.664891823726364,25.300874851946745,9,2.0,6.0,10.0,4.0,0.16611283386837367,49.948708889067696,99.66743317782787,20.829139689738966,True
inventory_1__factor_10__impact_5,1.0,0.0,10.0,5.0,0.9999999999999999,4.6228015901509965,25.9676756455938,9,1.0,6.0,9.0,4.0,0.16611302709521308,49.461667499563525,99.66415805310915,19.51464377348869,True
inventory_1__factor_10__impact_20,1.0,0.0,10.0,20.0,0.9999999999999999,4.296913539209753,27.89912695037254,9,1.0,5.0,8.0,4.0,0.1657713846870005,44.203649731404326,99.624982584709,17.85715251691614,True
inventory_10__factor_0__impact_1,10.0,0.0,0.0,1.0,0.9999999999999999,4.665436046582144,25.03639836022825,9,2.0,6.0,10.0,4.0,49.986170840579305,49.986170840579305,0.0,21.35848624762442,False
inventory_10__factor_0__impact_5,10.0,0.0,0.0,5.0,0.9999999999999999,4.6650495054868495,25.164196409349223,9,2.0,6.0,10.0,4.0,49.97933230460888,49.97933230460888,0.0,21.10321390133589,False
inventory_10__factor_0__impact_20,10.0,0.0,0.0,20.0,0.9999999999999999,4.6592545481767464,25.523192285863587,9,2.0,6.0,9.0,4.0,49.909391084316404,49.909391084316404,0.0,20.386439866769077,False
inventory_10__factor_1__impact_1,10.0,0.0,1.0,1.0,0.9999999999999999,4.665436046650882,25.036398360148084,9,2.0,6.0,10.0,4.0,1.6129032378718902,49.986170840579305,96.7733010735791,21.35848624763113,True
inventory_10__factor_1__impact_5,10.0,0.0,1.0,5.0,0.9999999999999999,4.665049505704187,25.16419640910666,9,2.0,6.0,10.0,4.0,1.6129033119317038,49.97933230460888,96.7728594249688,21.103213901337405,True
inventory_10__factor_1__impact_20,10.0,0.0,1.0,20.0,0.9999999999999999,4.659254548384713,25.523192285259967,9,2.0,6.0,9.0,4.0,1.6129055060404336,49.909391084316404,96.76833263039494,20.386439866772065,True
inventory_10__factor_10__impact_1,10.0,0.0,10.0,1.0,0.9999999999999999,4.665436046625509,25.036398360178474,9,2.0,6.0,10.0,4.0,0.16611334022167834,49.986170840579305,99.66768140582029,21.358486247628083,True
inventory_10__factor_10__impact_5,10.0,0.0,10.0,5.0,0.9999999999999999,4.665049505538941,25.164196409293424,9,2.0,6.0,10.0,4.0,0.16611383488002865,49.97933230460888,99.66763494584599,21.103213901336456,True
inventory_10__factor_10__impact_20,10.0,0.0,10.0,20.0,0.9999999999999999,4.659254548138704,25.523192285978393,9,2.0,6.0,9.0,4.0,0.166112483357673,49.909391084316404,99.66717188940044,20.38643986676855,True
