date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,event_id,strategy
2027-01-04,11605.075925084235,11580.655262998287,2787.1627185538196,-2762.742056467872,-2762.742056467872,event_01,static_open_loop
2027-01-05,32333.890169494367,16259.957127993306,3428.3428241192246,12645.590217381836,9882.848160913964,event_01,static_open_loop
2027-01-06,355411.0025147986,26719.04561720144,4268.987055628603,324422.96984196856,334305.81800288253,event_01,static_open_loop
2027-01-07,466193.6970130166,39881.09883215334,5390.788994625143,420921.80918623816,755227.6271891207,event_01,static_open_loop
2027-01-08,-212414.5961993341,41902.54540411701,5796.983746812322,-260114.12535026344,495113.5018388573,event_01,static_open_loop
2027-01-11,-851852.0532599769,42834.127666718865,6213.966697733171,-900900.147624429,-405786.64578557166,event_01,static_open_loop
2027-01-12,709778.1388061027,38088.17136933179,5677.61064969934,666012.3567870716,260225.7110014999,event_01,static_open_loop
2027-01-13,859006.8379149749,32896.67105040474,5345.377017190461,820764.7898473797,1080990.5008488796,event_01,static_open_loop
2027-01-14,-198585.53609770793,27351.628426162843,4296.568353454079,-230233.73287732486,850756.7679715548,event_01,static_open_loop
2027-01-15,1034368.8864595632,45725.37823695895,6137.6708345116385,982505.8373880925,1833262.6053596474,event_01,static_open_loop
2027-01-04,11852.519696647736,11481.928512881044,2774.695210310333,-2404.1040265436413,-2404.1040265436413,event_01,forecast_error_risk
2027-01-05,32030.930803757823,16173.892313417677,3419.1827848016605,12437.855705538486,10033.751678994846,event_01,forecast_error_risk
2027-01-06,356861.61957437656,26671.882162380654,4263.085988838311,325926.6514231576,335960.40310215246,event_01,forecast_error_risk
2027-01-07,467644.02814881585,39877.00678802031,5386.177677572407,422380.8436832231,758341.2467853755,event_01,forecast_error_risk
2027-01-08,-216567.19683817858,41769.09848830084,5783.9918225600795,-264120.2871490395,494220.959636336,event_01,forecast_error_risk
2027-01-11,-850917.4669889808,42673.29918843331,6198.712755579766,-899789.4789329938,-405568.5192966578,event_01,forecast_error_risk
2027-01-12,715160.1313070606,37985.86740297737,5668.084745866283,671506.179158217,265937.6598615592,event_01,forecast_error_risk
2027-01-13,861885.0231521858,32974.4205266445,5355.361844150154,823555.2407813913,1089492.9006429506,event_01,forecast_error_risk
2027-01-14,-200086.23541549858,27478.803286399103,4332.710680425313,-231897.749382323,857595.1512606276,event_01,forecast_error_risk
2027-01-15,1034368.8864595625,45953.926055395306,6155.65634947749,982259.3040546897,1839854.4553153173,event_01,forecast_error_risk
2027-01-21,-39831.80214452087,19588.12211663893,3711.1702565930823,-63131.094517752885,-63131.094517752885,event_02,static_open_loop
2027-01-22,8162.3019186522615,23212.27049017255,4028.869468217942,-19078.838039738228,-82209.93255749112,event_02,static_open_loop
2027-01-25,-223595.68034311006,26419.09697384957,4445.512364158078,-254460.28968111772,-336670.22223860887,event_02,static_open_loop
2027-01-26,-1073047.616404229,32170.370084309117,5093.827804935647,-1110311.8142934737,-1446982.0365320826,event_02,static_open_loop
2027-01-27,-514733.321733278,37969.56587429277,5569.973576638471,-558272.8611842092,-2005254.8977162917,event_02,static_open_loop
2027-01-28,-2066541.3805839522,45855.21211975202,5734.970088501843,-2118131.562792206,-4123386.460508498,event_02,static_open_loop
2027-01-29,-795277.7956043626,35459.48733660018,5664.379147984504,-836401.6620889474,-4959788.122597445,event_02,static_open_loop
2027-02-01,-463900.61778249533,31203.718037944094,4765.05992482721,-499869.39574526664,-5459657.518342711,event_02,static_open_loop
2027-02-02,951828.2452166046,24727.54790656309,5215.565285717988,921885.1320243236,-4537772.386318387,event_02,static_open_loop
2027-02-03,-1404207.388468408,26970.104282957418,4939.355948361937,-1436116.8486997276,-5973889.2350181155,event_02,static_open_loop
2027-01-21,-39649.37820291084,19469.754401387276,3696.4972474590545,-62815.62985175717,-62815.62985175717,event_02,forecast_error_risk
2027-01-22,7984.496105951386,23095.57489930544,4015.638633392384,-19126.717426746436,-81942.34727850361,event_02,forecast_error_risk
2027-01-25,-221368.488720288,26325.32455027185,4434.051800239131,-252127.865070799,-334070.2123493026,event_02,forecast_error_risk
2027-01-26,-1070278.2732065718,32098.090050613384,5083.322801850073,-1107459.6860590351,-1441529.8984083377,event_02,forecast_error_risk
2027-01-27,-511739.8540040843,37920.926746857236,5560.715855582738,-555221.4966065242,-1996751.395014862,event_02,forecast_error_risk
2027-01-28,-2060177.1071682007,45726.07132125952,5718.520849293509,-2111621.6993387537,-4108373.094353616,event_02,forecast_error_risk
