candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,forecast_error_pnl_vol_dollars,predictive_pnl_vol_dollars
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,198117.51459992235,299507.11733849545,49441.82556387339,-150831.4283024465,4438360.942321642,7063431.097930798,9727818.779291501,0.484375,event_01,static_open_loop,,
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,196296.54691626513,298085.0457778367,49388.24989885048,-151176.74876042205,4356151.208088872,6863143.273340056,9598861.094697285,0.5,event_01,static_open_loop,,
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,191846.36009893072,295648.5741473501,49312.98052477637,-153115.19457319577,4227801.246623273,6596546.181974694,9399403.912590986,0.484375,event_01,static_open_loop,,
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,178933.56209720994,294151.8606473742,49128.06282889726,-164346.3613790615,3977018.965229747,6045401.27122579,8973692.685393106,0.484375,event_01,static_open_loop,,
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,173081.31477098376,303059.9169421608,49064.237835478714,-179042.84000665575,3850916.307311592,6115303.465057837,8884964.001962747,0.484375,event_01,static_open_loop,,
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,166919.5276484212,315914.3284151237,49075.763134414265,-198070.56390111675,3798861.6774413665,6341950.988553858,8961343.349000344,0.46875,event_01,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,198117.51459992235,299507.11733849545,49441.82556387339,-150831.4283024465,4438360.942321642,7063431.097930798,9727818.779291501,0.484375,event_01,forecast_error_risk,549542.6298204999,4472252.783141432
variance__multiplier_0.1__variance_9.12081e-10__path_0__forecast_error_path,variance,0.0,,0.1,9.120811753644234e-10,9.120811753644234e-10,optimal,196268.43397278266,298062.3378838923,49387.08364413434,-151180.98755524398,4355623.035680468,6860395.271021814,9597931.596562894,0.5,event_01,forecast_error_risk,545744.9159064022,4389679.890628476
variance__multiplier_0.3__variance_2.73624e-09__path_0__forecast_error_path,variance,0.0,,0.3,2.73624352609327e-09,2.73624352609327e-09,optimal,191785.3676996731,295609.1135329493,49310.04246748275,-153133.78830075893,4227009.993567707,6590567.5074397465,9397629.921410449,0.484375,event_01,forecast_error_risk,541028.5943726256,4261493.332817744
variance__multiplier_1__variance_9.12081e-09__path_0__forecast_error_path,variance,0.0,,1.0,9.120811753644233e-09,9.120811753644233e-09,optimal,178725.0311642389,294095.3630706132,49120.36716852321,-164490.6990748975,3975065.4265202703,6033423.930558121,8970449.498505728,0.484375,event_01,forecast_error_risk,528445.8174269771,4010037.4221536694
variance__multiplier_3__variance_2.73624e-08__path_0__forecast_error_path,variance,0.0,,3.0,2.73624352609327e-08,2.73624352609327e-08,optimal,173057.67609568598,303033.5500496238,49054.84044385436,-179030.7143977922,3851020.203582725,6122643.749134661,8890154.975050317,0.484375,event_01,forecast_error_risk,525581.1854343025,3886719.9784503207
variance__multiplier_10__variance_9.12081e-08__path_0__forecast_error_path,variance,0.0,,10.0,9.120811753644233e-08,9.120811753644233e-08,optimal,166664.79513667047,315739.06158353825,49067.58406816734,-198141.85051503513,3798797.518501955,6352940.428426861,8972614.704045074,0.46875,event_01,forecast_error_risk,528223.1714733351,3835346.4387794174
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,536235.2173812235,326589.34667813533,50309.37629399323,159336.49440909488,4807330.498793266,7392826.493562515,10423556.451999798,0.515625,event_02,static_open_loop,,
variance__multiplier_0.1__variance_1.27613e-09__path_0,variance,0.0,,0.1,1.2761300750482573e-09,0.0,optimal,531322.1480581483,322383.77188565524,50252.34021977007,158686.03595272303,4697864.363827319,7625674.670789028,10189213.0678322,0.53125,event_02,static_open_loop,,
variance__multiplier_0.3__variance_3.82839e-09__path_0,variance,0.0,,0.3,3.828390225144772e-09,0.0,optimal,517901.8610988656,313929.1924852523,50104.05000018802,153868.61861342526,4490902.227573412,7751228.704420486,9793643.60526661,0.515625,event_02,static_open_loop,,
variance__multiplier_1__variance_1.27613e-08__path_0,variance,0.0,,1.0,1.2761300750482572e-08,0.0,optimal,476745.70435127284,299205.24538464966,49677.600290657836,127862.85867596534,4092497.8869472374,7845342.802144825,8940316.071958214,0.515625,event_02,static_open_loop,,
variance__multiplier_3__variance_3.82839e-08__path_0,variance,0.0,,3.0,3.8283902251447715e-08,0.0,optimal,442680.2861735108,300449.7001427009,49287.66327436825,92942.9227564416,3871425.299614019,7606917.1178355785,8754960.028852237,0.515625,event_02,static_open_loop,,
variance__multiplier_10__variance_1.27613e-07__path_0,variance,0.0,,10.0,1.2761300750482573e-07,0.0,optimal,423897.4354102405,320323.47745587124,49083.56975205644,54490.38820231281,3790684.905231995,7715534.888069979,8908425.33431627,0.5,event_02,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,536235.2173812235,326589.34667813533,50309.37629399323,159336.49440909488,4807330.498793266,7392826.493562515,10423556.451999798,0.515625,event_02,forecast_error_risk,595125.1408778812,4844027.297397573
variance__multiplier_0.1__variance_1.27613e-09__path_0__forecast_error_path,variance,0.0,,0.1,1.2761300750482573e-09,1.2761300750482573e-09,optimal,531249.7991873488,322317.42037629866,50250.94611327851,158681.43269777164,4697486.467486254,7625416.812003819,10187889.671511102,0.53125,event_02,forecast_error_risk,592127.4295753216,4734658.80556054
variance__multiplier_0.3__variance_3.82839e-09__path_0__forecast_error_path,variance,0.0,,0.3,3.828390225144772e-09,3.828390225144772e-09,optimal,517628.69299618254,313727.4955418835,50099.59446556743,153801.60298873158,4488972.926510813,7744323.047581846,9789039.267853271,0.515625,event_02,forecast_error_risk,583228.3330853746,4526702.245946887
variance__multiplier_1__variance_1.27613e-08__path_0__forecast_error_path,variance,0.0,,1.0,1.2761300750482572e-08,1.2761300750482572e-08,optimal,475952.49862784083,298909.82818250905,49665.32256589393,127377.34787943785,4087904.931602547,7829324.864281828,8931333.388343811,0.515625,event_02,forecast_error_risk,557618.6411259932,4125761.1756803887
variance__multiplier_3__variance_3.82839e-08__path_0__forecast_error_path,variance,0.0,,3.0,3.8283902251447715e-08,3.8283902251447715e-08,optimal,441936.2628496753,300276.8529574068,49274.14901719241,92385.26087507613,3869610.8704806734,7604285.559776326,8754248.840842951,0.515625,event_02,forecast_error_risk,535951.9949591458,3906549.990700603
variance__multiplier_10__variance_1.27613e-07__path_0__forecast_error_path,variance,0.0,,10.0,1.2761300750482573e-07,1.2761300750482573e-07,optimal,423562.1310406224,320008.8762113915,49071.66956361682,54481.58526561407,3790745.5092201913,7718833.914629896,8893583.066628434,0.5,event_02,forecast_error_risk,526363.8513469716,3827115.1563126324
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1130272.2480827484,354219.9116899107,50705.92702073001,725346.4093721077,4775679.946594389,7378578.314694004,10527967.915685646,0.5625,event_03,static_open_loop,,
variance__multiplier_0.1__variance_2.40386e-09__path_0,variance,0.0,,0.1,2.403859380885019e-09,0.0,optimal,1120561.5981517907,346384.10984334315,50556.92806939003,723620.5602390575,4625819.066952722,7451414.931294855,10366772.614757905,0.5625,event_03,static_open_loop,,
variance__multiplier_0.3__variance_7.21158e-09__path_0,variance,0.0,,0.3,7.211578142655056e-09,0.0,optimal,1099426.3023970793,334734.4360973479,50299.51695316548,714392.3493465659,4401600.474575685,7398637.799847267,10103188.327383477,0.5625,event_03,static_open_loop,,
variance__multiplier_1__variance_2.40386e-08__path_0,variance,0.0,,1.0,2.4038593808850188e-08,0.0,optimal,1026984.3092198926,311702.92515791644,49639.610367915,665641.7736940611,3957132.3825492184,7125851.372448416,9414455.858851565,0.578125,event_03,static_open_loop,,
variance__multiplier_3__variance_7.21158e-08__path_0,variance,0.0,,3.0,7.211578142655057e-08,0.0,optimal,990344.9302069786,316078.56130666257,49274.54643213267,624991.8224681834,3829434.36289557,6837431.299874945,9014835.355949659,0.578125,event_03,static_open_loop,,
variance__multiplier_10__variance_2.40386e-07__path_0,variance,0.0,,10.0,2.403859380885019e-07,0.0,optimal,965816.772341283,329196.74935711053,49106.71720341524,587513.3057807572,3785297.1806838103,6758845.883843798,8874418.119421462,0.59375,event_03,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,1130272.2480827484,354219.9116899107,50705.92702073001,725346.4093721077,4775679.946594389,7378578.314694004,10527967.915685646,0.5625,event_03,forecast_error_risk,630715.2950364832,4817148.610505674
variance__multiplier_0.1__variance_2.40386e-09__path_0__forecast_error_path,variance,0.0,,0.1,2.403859380885019e-09,2.403859380885019e-09,optimal,1120419.744961072,346272.2330554086,50554.96480650239,723592.5470991611,4624566.860964674,7451212.999085781,10364844.481140178,0.5625,event_03,forecast_error_risk,622162.1143094351,4666230.2073531095
variance__multiplier_0.3__variance_7.21158e-09__path_0__forecast_error_path,variance,0.0,,0.3,7.211578142655056e-09,7.211578142655056e-09,optimal,1098955.07050146,334456.41440022585,50294.29887003214,714204.357231202,4398659.897049443,7393761.347234037,10098259.494224897,0.5625,event_03,forecast_error_risk,606284.1057792343,4440246.536717476
variance__multiplier_1__variance_2.40386e-08__path_0__forecast_error_path,variance,0.0,,1.0,2.4038593808850188e-08,2.4038593808850188e-08,optimal,1026087.3417671069,311433.96362853097,49629.616022974194,665023.7621156017,3953920.7192222783,7116311.891582784,9402516.163654158,0.578125,event_03,forecast_error_risk,560495.0934391754,3993450.1128303343
variance__multiplier_3__variance_7.21158e-08__path_0__forecast_error_path,variance,0.0,,3.0,7.211578142655057e-08,7.211578142655057e-08,optimal,988970.4806946213,315745.9585973965,49264.870794965456,623959.6513022594,3827615.0700792,6822225.013859627,8991598.615275666,0.578125,event_03,forecast_error_risk,540188.9070264295,3865545.39230518
variance__multiplier_10__variance_2.40386e-07__path_0__forecast_error_path,variance,0.0,,10.0,2.403859380885019e-07,2.403859380885019e-07,optimal,964920.0760488079,328595.51778241794,49098.69197100132,587225.8662953887,3785179.1153443214,6739585.253803934,8844916.686231075,0.59375,event_03,forecast_error_risk,531098.1383674188,3822256.6852340195
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,129486.26875540212,298318.03027512314,49395.66638765974,-218227.42790738074,4378849.120754709,9371175.07944467,10565650.392986782,0.46875,event_04,static_open_loop,,
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,127633.61501554461,296775.42938834697,49359.89432768186,-218501.70870048422,4308278.04110024,9212007.864112617,10437841.071235808,0.46875,event_04,static_open_loop,,
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,124631.05371127355,295218.15410713316,49317.89480020114,-219904.99519606077,4212256.213341881,9001004.55266727,10261413.192311192,0.46875,event_04,static_open_loop,,
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,116795.97497961152,294635.4466253392,49274.09000991339,-227113.56165564107,4051069.5880128485,9353455.325471679,10023975.351027288,0.484375,event_04,static_open_loop,,
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,99478.90747346128,297666.4678148583,49146.44152811518,-247334.0018695122,3893184.5963285114,9162196.0430912,10097324.485470332,0.484375,event_04,static_open_loop,,
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,81404.10926926706,311390.06237788434,49059.23981604083,-279045.1929246581,3805755.6943553365,9209266.050674438,10112631.448078841,0.46875,event_04,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,129486.26875540212,298318.03027512314,49395.66638765974,-218227.42790738074,4378849.120754709,9371175.07944467,10565650.392986782,0.46875,event_04,forecast_error_risk,536402.876617766,4411581.08486947
variance__multiplier_0.1__variance_9.12081e-10__path_0__forecast_error_path,variance,0.0,,0.1,9.120811753644234e-10,9.120811753644234e-10,optimal,127606.56818154047,296751.80578453746,49358.876873935485,-218504.11447693247,4307976.52711246,9212630.609873058,10436704.170425914,0.46875,event_04,forecast_error_risk,534145.6029161423,4340964.556785344
variance__multiplier_0.3__variance_2.73624e-09__path_0__forecast_error_path,variance,0.0,,0.3,2.73624352609327e-09,2.73624352609327e-09,optimal,124585.28886307782,295176.2055731567,49315.3131680509,-219906.2298781298,4212214.212082274,9005087.12906774,10259220.826657372,0.46875,event_04,forecast_error_risk,532217.2350748455,4245704.1528795445
variance__multiplier_1__variance_9.12081e-09__path_0__forecast_error_path,variance,0.0,,1.0,9.120811753644233e-09,9.120811753644233e-09,optimal,116657.44286349967,294528.9101411358,49267.67950089259,-227139.1467785287,4050753.024612137,9350613.962546699,10017583.418123234,0.484375,event_04,forecast_error_risk,531827.4017631738,4085515.9345755274
variance__multiplier_3__variance_2.73624e-08__path_0__forecast_error_path,variance,0.0,,3.0,2.73624352609327e-08,2.73624352609327e-08,optimal,99032.77727643141,297429.2183190085,49131.41556810209,-247527.85661067915,3892350.613542672,9155840.490548413,10087212.022568572,0.484375,event_04,forecast_error_risk,526068.2922174816,3927739.9540731604
variance__multiplier_10__variance_9.12081e-08__path_0__forecast_error_path,variance,0.0,,10.0,9.120811753644233e-08,9.120811753644233e-08,optimal,81354.18935485443,311021.91290754214,49044.94805439226,-278712.67160708,3806323.291870457,9201382.722228268,10099112.028762177,0.46875,event_04,forecast_error_risk,523345.7529757202,3842133.232905032
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,2429105.155720046,373678.47030612145,51027.907834501275,2004398.777579423,4897487.749122158,5419515.158619751,6725416.669792514,0.640625,event_05,static_open_loop,,
variance__multiplier_0.1__variance_5.17939e-09__path_0,variance,0.0,,0.1,5.1793888834661116e-09,0.0,optimal,2428225.365440112,374394.14088698477,50969.60312222552,2002861.6214309018,4837112.154130202,5522459.036158014,6591351.16334143,0.640625,event_05,static_open_loop,,
variance__multiplier_0.3__variance_1.55382e-08__path_0,variance,0.0,,0.3,1.553816665039833e-08,0.0,optimal,2391714.8284177207,361164.49186036014,50657.08699553756,1979893.249561823,4599400.949438993,5187934.1941988105,6233409.777606241,0.671875,event_05,static_open_loop,,
variance__multiplier_1__variance_5.17939e-08__path_0,variance,0.0,,1.0,5.179388883466111e-08,0.0,optimal,2213677.4836980444,326661.9784934247,49743.188774508526,1837272.3164301114,4042422.4768577106,4164993.3016448375,5593492.024082538,0.6875,event_05,static_open_loop,,
variance__multiplier_3__variance_1.55382e-07__path_0,variance,0.0,,3.0,1.5538166650398332e-07,0.0,optimal,2075754.901333964,324661.882758178,49179.39073100591,1701913.62784478,3795897.6918665916,3722088.17792953,5514401.878441397,0.65625,event_05,static_open_loop,,
variance__multiplier_10__variance_5.17939e-07__path_0,variance,0.0,,10.0,5.17938888346611e-07,0.0,optimal,2063942.627083848,335465.293762884,49077.14608140189,1679400.1872395622,3782621.6646306575,3593680.7367507117,5503914.943380117,0.65625,event_05,static_open_loop,,
variance__multiplier_0__variance_0__path_0__forecast_error_path,variance,0.0,,0.0,0.0,0.0,optimal,2429105.155720046,373678.47030612145,51027.907834501275,2004398.777579423,4897487.749122158,5419515.158619751,6725416.669792514,0.640625,event_05,forecast_error_risk,644780.5930383833,4939749.8181548165
variance__multiplier_0.1__variance_5.17939e-09__path_0__forecast_error_path,variance,0.0,,0.1,5.1793888834661116e-09,5.1793888834661116e-09,optimal,2428136.7835175903,374333.57431418315,50968.22695135064,2002834.9822520565,4836584.361856624,5522670.748789138,6590271.618326704,0.640625,event_05,forecast_error_risk,642100.7995234664,4879020.57037114
variance__multiplier_0.3__variance_1.55382e-08__path_0__forecast_error_path,variance,0.0,,0.3,1.553816665039833e-08,1.553816665039833e-08,optimal,2390946.777639423,360845.4323018858,50650.31847068935,1979451.0268668476,4596330.886029779,5186315.350065697,6228672.867476639,0.671875,event_05,forecast_error_risk,625176.6593678669,4638653.195625823
variance__multiplier_1__variance_5.17939e-08__path_0__forecast_error_path,variance,0.0,,1.0,5.179388883466111e-08,5.179388883466111e-08,optimal,2208508.9376516845,325706.571321326,49721.45992239814,1833080.9064079602,4032509.152627435,4159916.901121355,5583233.307348048,0.6875,event_05,forecast_error_risk,569436.9515212786,4072516.2378782337
variance__multiplier_3__variance_1.55382e-07__path_0__forecast_error_path,variance,0.0,,3.0,1.5538166650398332e-07,1.5538166650398332e-07,optimal,2074562.6234047473,324557.1361383736,49172.230460327344,1700833.2568060465,3795016.2062699595,3733144.758371665,5514697.462597657,0.65625,event_05,forecast_error_risk,534611.6586025091,3832487.1338812555
variance__multiplier_10__variance_5.17939e-07__path_0__forecast_error_path,variance,0.0,,10.0,5.17938888346611e-07,5.17938888346611e-07,optimal,2062616.7638679885,334719.1066629445,49067.70429810858,1678829.9529069355,3782523.9254476316,3604939.145659647,5503101.286270155,0.65625,event_05,forecast_error_risk,530941.3693457085,3819605.4749497958
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,-199183.48207459197,291577.2086071587,49115.037662391005,-539875.7283441416,4087353.886624667,7637105.276103071,9469724.192490725,0.421875,event_06,static_open_loop,,
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,-199109.5420913516,291804.7132162009,49093.70084917763,-540007.9561567302,4048887.4093409744,7635965.60690943,9408380.287112273,0.421875,event_06,static_open_loop,,
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,-199208.49593526818,292424.18985817797,49070.898280140944,-540703.5840735871,3999501.609256895,7624308.140824547,9338164.871243969,0.421875,event_06,static_open_loop,,
