event_id,as_of,realized_net_pnl_delta_dollars,realized_net_pnl_delta_bps,within_event_drawdown_delta_bps,early_factor_imbalance_delta_pp,late_early_ratio_delta,daily_gross_spearman_delta,nondecreasing_transitions_delta,urgent_start_delta_days,small_start_delta_days
event_01,2027-01-01 16:00:00,6591.849955669837,0.1353006969554542,0.05943130351685255,0.07712078259814881,0.011221056440767319,0.0,0.0,0.0,0.0
event_02,2027-01-20 16:00:00,29583.243247663602,0.6072094262656691,-0.6072094262656691,0.08911474789673246,0.013497978083656603,0.0,0.0,0.0,0.0
event_03,2027-02-08 16:00:00,-12456.601103084395,-0.25567736254278195,0.17728417049576706,0.07349978320135042,0.00942001394983838,-0.048484848484848464,0.0,0.0,0.0
event_04,2027-02-25 16:00:00,-850.6514142882079,-0.01746000439835882,-0.011943414136837305,0.025156739099740477,0.0145045748001833,0.0,0.0,0.0,0.0
event_05,2027-03-16 16:00:00,-4350.91377467569,-0.08930446992356167,0.182558068963651,-0.03720613449592669,0.019188519713844943,0.0,0.0,0.0,1.0
event_06,2027-04-02 16:00:00,26003.976198537275,0.5337433538287613,-0.7183254651415254,0.07537099340880093,0.012942073339761162,0.0,0.0,0.0,0.0
event_07,2027-04-21 16:00:00,3632.073194356053,0.07454994241289103,-0.08974001109145746,0.07312069352582196,0.01103008410243822,0.0,0.0,0.0,0.0
event_08,2027-05-10 16:00:00,-14179.870157403639,-0.2910482380419488,0.28504745812077203,0.06830643522983504,0.008777499781402076,0.0,0.0,0.0,0.0
event_09,2027-05-27 16:00:00,-15875.064623488113,-0.3258428699402316,-0.022650931678713793,-0.015978350761285398,0.011981738608299985,0.0,0.0,0.0,0.0
event_10,2027-06-15 16:00:00,5977.341227803379,0.12268762782847631,-0.21504066791399623,-0.042646381889582585,0.0163258909213696,0.0,0.0,0.0,0.0
event_11,2027-07-02 16:00:00,4204.561745387269,0.08630052843569658,-0.034257575330652656,0.022918295397259314,0.008365397190794877,0.07272727272727272,0.0,0.0,0.0
event_12,2027-07-21 16:00:00,10425.769940175116,0.2139936358820762,-0.2537163917884868,-0.019429494715093032,0.011237949265071379,0.0,0.0,0.0,0.0
event_13,2027-08-09 16:00:00,-13815.236910910346,-0.28356397600390437,0.2905757405960401,0.07424218261790738,0.009579513314088572,0.048484848484848575,1.0,0.0,0.0
event_14,2027-08-26 16:00:00,-5285.6446816287935,-0.1084902438757922,-0.04424564671369424,0.014582270978699796,0.007125705894723056,0.0,0.0,0.0,0.0
event_15,2027-09-14 16:00:00,1834.9520677626133,0.037663219781663315,-0.037663219781663315,0.05719728664909507,0.010919594787758502,0.0,0.0,0.0,0.0
event_16,2027-10-01 16:00:00,-3635.2259088152205,-0.07461465330080586,-0.1699791819369061,0.037585329594003625,0.014369841810019768,0.0,0.0,0.0,0.0
event_17,2027-10-20 16:00:00,8287.541719649453,0.17010553611759605,-0.2685210088806187,-0.030069189638767035,0.008607633522216052,0.0,0.0,0.0,0.0
event_18,2027-11-08 16:00:00,-13507.013556868304,-0.27723755248087656,0.07473687109846594,-0.014741386341157181,0.011732181068443093,0.0,0.0,0.0,0.0
event_19,2027-11-25 16:00:00,-7581.632452581078,-0.1556164296506779,-0.0056263041384072565,0.030063834165027892,0.007533629869494685,0.0,0.0,0.0,0.0
event_20,2027-12-14 16:00:00,3676.4465370271355,0.07546072530843162,-0.04154764314407444,0.09209826079787486,0.012427944504445065,0.0,0.0,0.0,0.0
event_21,2027-12-31 16:00:00,5376.057856312022,0.11034601511312303,-0.21381504038538424,0.060750946017080754,0.010516780533657455,0.024242424242424176,0.0,0.0,0.0
event_22,2028-01-19 16:00:00,-2542.8533299993724,-0.05219321284892153,-0.051674589232622026,-0.057902793937317565,0.010572176259450838,0.07272727272727272,0.0,0.0,0.0
event_23,2028-02-07 16:00:00,-8346.453752722126,-0.17131473219872362,0.0020909998566054355,-0.023474015266431003,0.010917127406524285,0.0,0.0,0.0,0.0
event_24,2028-02-24 16:00:00,1866.8763729529455,0.03831848056142917,0.017298257205961676,0.07056333423246652,0.010823906716188825,0.0,0.0,0.0,0.0
