candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.365468748845045,2.9027343740938565,1.18,3.2827343747511897,231.98922068762604,-2.371390625353918,-2.371390625353918,1.0,event_01,static_open_loop
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,7.2405693171719,2.790659026544392,1.1800000000000006,3.269910290627508,227.7226164565109,-2.397360058885362,-2.397360058885362,1.0,event_01,static_open_loop
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.893820710719311,2.5793065961957016,1.1800000000000002,3.134514114523609,215.94627979824423,-2.4046981841870236,-2.4046981841870236,1.0,event_01,static_open_loop
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,6.121331136635048,2.5186308463930724,1.1800000000000002,2.422700290241975,193.96033542622735,-1.9627797019366984,-1.9627797019366984,1.0,event_01,static_open_loop
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,5.183877656955795,3.166185154441494,1.1800000000000002,0.8376925025143014,175.47568054040573,-0.5758602718008818,-0.5758602718008818,1.0,event_01,static_open_loop
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.312899337107417,4.611939426752423,1.1800000000000004,-1.4790400896450062,165.69076606625762,1.7258617071071818,1.7258617071071818,0.0,event_01,static_open_loop
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.989329584387228,2.6350664330907034,1.1799999999999997,3.1742631512965254,221.75103059624695,-2.2954084231712004,-2.2954084231712004,1.0,event_01,forecast_liquidity
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.795488018321393,2.5112066888937497,1.1800000000000004,3.104281329427643,215.13685084802054,-2.309057048934011,-2.309057048934011,1.0,event_01,forecast_liquidity
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.479039177279463,2.386815692362304,1.1800000000000002,2.9122234849171593,205.16233769955244,-2.245624343876665,-2.245624343876665,1.0,event_01,forecast_liquidity
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.784413770903379,2.433245250389948,1.1800000000000002,2.171168520513431,187.09318016112167,-1.7416842951580924,-1.7416842951580926,1.0,event_01,forecast_liquidity
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.95487889259979,3.039057258050124,1.1800000000000002,0.7358216345496662,172.44342729536842,-0.47194208178729463,-0.47194208178729463,1.0,event_01,forecast_liquidity
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.201189676738307,4.233008545125271,1.1800000000000002,-1.2118188683869646,164.92316233322097,1.4753268491755456,1.4753268491755456,0.0,event_01,forecast_liquidity
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.365468748845045,2.9027343740938565,1.18,3.2827343747511897,231.98922068762604,-2.371390625353918,-2.371390625353918,1.0,event_02,static_open_loop
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,7.2405693171719,2.790659026544392,1.1800000000000006,3.269910290627508,227.7226164565109,-2.397360058885362,-2.397360058885362,1.0,event_02,static_open_loop
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.893820710719311,2.5793065961957016,1.1800000000000002,3.134514114523609,215.94627979824423,-2.4046981841870236,-2.4046981841870236,1.0,event_02,static_open_loop
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,6.121331136635048,2.5186308463930724,1.1800000000000002,2.422700290241975,193.96033542622735,-1.9627797019366984,-1.9627797019366984,1.0,event_02,static_open_loop
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,5.183877656955795,3.166185154441494,1.1800000000000002,0.8376925025143014,175.47568054040573,-0.5758602718008818,-0.5758602718008818,1.0,event_02,static_open_loop
