gate,passed,baseline_or_limit,candidate,criterion
mean_pnl_within_1bp_per_event,True,0.32196893848736763,-0.025769004679880934,candidate >= baseline - 1 bp/event
lower_event_pnl_volatility,False,0.0,0.0,candidate <= baseline - 0.05 bp
no_higher_loss_cvar,False,-0.32196893848736763,0.025769004679880934,candidate <= baseline + 0.05 bp
no_higher_within_event_drawdown,True,0.7682242348175675,0.45319665570970585,candidate <= baseline + 0.05 bp
urgent_never_later,True,0.0,0.0,maximum paired start delta <= 0 days
small_never_earlier,True,0.0,0.0,minimum paired start delta >= 0 days
early_factor_within_1pp,True,62.71186440677966,62.71186440677966,candidate <= baseline + 1 percentage point
late_early_ramp_preserves_90pct,True,1.0,1.0,"candidate >= max(1.0, 90% of baseline)"
rank_ramp_preserved,True,0.5,1.0,candidate >= baseline - 0.10
nondecreasing_steps_preserved,True,1.0,2.0,candidate >= baseline - 1 transition
participation_caps_hard,True,0.05,0.0,maximum cap excess <= 0.05 shares
direction_hard,True,0.001,0.0,maximum wrong-way trade <= 0.001 shares
completion_hard,True,0.001,2.1316282072803006e-14,maximum terminal error <= 0.001 shares
lower_realized_impact_cost,False,5.3629026186758715,5.434364600077838,candidate total realized impact cost < baseline
p95_realized_participation_preserved,True,0.04201819246508293,0.03727435104047972,candidate mean event p95 <= baseline + 0.5 percentage point
max_realized_participation_preserved,True,0.048945744172585286,0.040580540262034025,candidate maximum <= baseline + 1 percentage point
