candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,policy_id,policy_aggressiveness
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.186432092485758,2.352051918642863,1.1800000000000002,2.6543801738428945,200.35400711371494,-1.9323404078149662,-1.9323404078149662,1.0,event_01,forecast_liquidity,policy_0050,0.05
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.040116904552005,2.3283239995549434,1.1800000000000002,2.5317929049970616,196.13425574626584,-1.8715203301278431,-1.8715203301278434,1.0,event_01,forecast_liquidity,policy_0050,0.05
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,5.8006159430698006,2.3345413464856835,1.1800000000000002,2.286074596584117,189.8013632027555,-1.7208006075038227,-1.7208006075038227,1.0,event_01,forecast_liquidity,policy_0050,0.05
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.272108803653642,2.5374411655039806,1.1800000000000006,1.5546676381496605,178.39570288481517,-1.1639401530991262,-1.1639401530991262,1.0,event_01,forecast_liquidity,policy_0050,0.05
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.649971175629285,3.123086934545737,1.1800000000000006,0.34688424108354754,169.1430119209379,-0.06418992157620174,-0.06418992157620174,1.0,event_01,forecast_liquidity,policy_0050,0.05
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.065741291895236,4.109444078983425,1.1800000000000006,-1.2237027870881896,164.1915212813302,1.5136690230190317,1.5136690230190317,0.0,event_01,forecast_liquidity,policy_0050,0.05
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.186432092485758,2.352051918642863,1.1800000000000002,2.6543801738428945,200.35400711371494,-1.9323404078149662,-1.9323404078149662,1.0,event_02,forecast_liquidity,policy_0050,0.05
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.040116904552005,2.3283239995549434,1.1800000000000002,2.5317929049970616,196.13425574626584,-1.8715203301278431,-1.8715203301278434,1.0,event_02,forecast_liquidity,policy_0050,0.05
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,5.8006159430698006,2.3345413464856835,1.1800000000000002,2.286074596584117,189.8013632027555,-1.7208006075038227,-1.7208006075038227,1.0,event_02,forecast_liquidity,policy_0050,0.05
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.272108803653642,2.5374411655039806,1.1800000000000006,1.5546676381496605,178.39570288481517,-1.1639401530991262,-1.1639401530991262,1.0,event_02,forecast_liquidity,policy_0050,0.05
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.649971175629285,3.123086934545737,1.1800000000000006,0.34688424108354754,169.1430119209379,-0.06418992157620174,-0.06418992157620174,1.0,event_02,forecast_liquidity,policy_0050,0.05
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.065741291895236,4.109444078983425,1.1800000000000006,-1.2237027870881896,164.1915212813302,1.5136690230190317,1.5136690230190317,0.0,event_02,forecast_liquidity,policy_0050,0.05
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.576574618522377,2.45138012961001,1.1800000000000002,2.945194488912367,210.3176756089547,-2.1453751102218526,-2.1453751102218526,1.0,event_01,forecast_liquidity,policy_0200,0.2
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.406215661071165,2.3809097264343864,1.1800000000000002,2.845305934636779,204.92952305995547,-2.118259883679361,-2.118259883679361,1.0,event_01,forecast_liquidity,policy_0200,0.2
