candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.365468749855537,2.902734374851045,1.180000000010125,3.2827343749943667,231.98922072600507,-2.3713906250697057,-2.3713906250697057,1.0,event_01,static_open_loop
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,7.240569333167537,2.7906590387404893,1.180000000049739,3.269910294377308,227.72261707290426,-2.3973600528024797,-2.3973600528024797,1.0,event_01,static_open_loop
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.893820710852088,2.5793065962678847,1.1800000000000033,3.1345141145842,215.94627980173954,-2.4046981842243844,-2.4046981842243844,1.0,event_01,static_open_loop
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,6.121331136498634,2.5186308465743235,1.1799999999999864,2.4227002899243244,193.96033542010602,-1.9627797018306328,-1.9627797018306328,1.0,event_01,static_open_loop
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,5.183877652591621,3.1661851552443703,1.1799999999999935,0.8376924973472568,175.47568050373295,-0.5758602697848794,-0.5758602697848794,1.0,event_01,static_open_loop
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.312898731344087,4.611939757034351,1.1799999999999777,-1.4790410256902418,165.69076393883716,1.7258622447800862,1.7258622447800862,0.0,event_01,static_open_loop
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.984151209566683,2.6439707474130243,1.1799999999999176,3.160180462153741,221.601230239647,-2.2822799143289787,-2.2822799143289787,1.0,event_01,forecast_liquidity
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.791360093875716,2.5207336240719873,1.1800000000000006,3.090626469803728,215.02782147924907,-2.2959048048054607,-2.2959048048054607,1.0,event_01,forecast_liquidity
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.476389286983174,2.396796681994122,1.1799999999999975,2.899592604989055,205.10488781688628,-2.232928285923231,-2.232928285923231,1.0,event_01,forecast_liquidity
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.784074826265482,2.4430417254461547,1.1799999999999682,2.1610331008193593,187.09606064651305,-1.7309157327102815,-1.7309157327102815,1.0,event_01,forecast_liquidity
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.955902613589112,3.0489147095050657,1.1799999999999793,0.726987904084067,172.46027729468065,-0.4627148946198093,-0.4627148946198093,1.0,event_01,forecast_liquidity
