candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,coefficient_policy,alpha_policy,factor_policy,applied_inventory_risk_weight
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,930822.2908428032,333060.65562967805,50307.28659550961,547454.3486176155,4582490.287145908,8215684.07706359,11594274.93523373,0.5625,event_28,static_open_loop,baseline_locked,raw,barra,1.923035711662647e-08
variance__multiplier_0.1__variance_1.92304e-09__path_0,variance,0.0,,0.1,1.9230357116626472e-09,0.0,optimal,927710.3804422498,330891.4295816731,50210.88564054613,546608.0652200306,4488561.868947718,8203380.665589656,11323446.326348083,0.5625,event_28,static_open_loop,baseline_locked,raw,barra,1.923035711662647e-08
variance__multiplier_0.3__variance_5.76911e-09__path_0,variance,0.0,,0.3,5.7691071349879404e-09,0.0,optimal,915796.946902271,324668.44198903476,50024.65601846222,541103.848894774,4321395.783605739,8140833.2600043705,10854587.594403904,0.578125,event_28,static_open_loop,baseline_locked,raw,barra,1.923035711662647e-08
variance__multiplier_1__variance_1.92304e-08__path_0,variance,0.0,,1.0,1.923035711662647e-08,0.0,optimal,883175.6318734492,316966.71126818797,49628.701481503456,516580.2191237578,4044416.1498773447,7478169.085580871,10071400.267813582,0.578125,event_28,static_open_loop,baseline_locked,raw,barra,1.923035711662647e-08
variance__multiplier_3__variance_5.76911e-08__path_0,variance,0.0,,3.0,5.769107134987941e-08,0.0,optimal,828297.0802376065,315789.2895618223,49251.899658058705,463255.8910177255,3831121.057793865,7635917.785514208,9416688.89524175,0.5625,event_28,static_open_loop,baseline_locked,raw,barra,1.923035711662647e-08
variance__multiplier_10__variance_1.92304e-07__path_0,variance,0.0,,10.0,1.923035711662647e-07,0.0,optimal,807120.1956360324,327206.9418364719,49107.30985292361,430805.94394663686,3786977.4606271554,7740509.117446436,9359179.726301312,0.578125,event_28,static_open_loop,baseline_locked,raw,barra,1.923035711662647e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,832139.3869721778,313915.37182179716,48780.97829717268,469443.0368532079,3985562.1224843683,7178995.146821494,9537436.83388273,0.59375,event_28,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,1.923035711662647e-08
variance__multiplier_0.1__variance_1.92304e-09__path_0,variance,0.0,,0.1,1.9230357116626472e-09,0.0,optimal,830868.0572780863,312209.1872559946,48766.15655402022,469892.7134680715,3919198.0792176574,7180929.922211513,9427275.834446928,0.59375,event_28,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,1.923035711662647e-08
variance__multiplier_0.3__variance_5.76911e-09__path_0,variance,0.0,,0.3,5.7691071349879404e-09,0.0,optimal,824518.7953074487,308712.2482309586,48707.94014315713,467098.606933333,3800391.2866839874,7176059.608109949,9178771.41129655,0.59375,event_28,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,1.923035711662647e-08
variance__multiplier_1__variance_1.92304e-08__path_0,variance,0.0,,1.0,1.923035711662647e-08,0.0,optimal,805867.8424502915,305913.56055879034,48555.147025291975,451399.1348662092,3616503.125184975,7213238.3008782305,8619692.768073864,0.59375,event_28,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,1.923035711662647e-08
