candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,coefficient_policy,alpha_policy,applied_inventory_risk_weight
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,165900.67331867668,295168.74941822735,49007.710944696504,-178275.78704424718,4355871.96288503,7063427.859475177,8729299.011091111,0.546875,event_25,static_open_loop,baseline_locked,raw,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,163994.05465999802,293663.21090463275,48963.96524020964,-178633.12148484436,4258422.6497141095,6928271.684874261,8533158.155746829,0.546875,event_25,static_open_loop,baseline_locked,raw,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,161083.44185969327,292826.6073922532,48900.36286448131,-180643.52839704123,4122250.5273146634,6956437.833355613,8254124.397529196,0.546875,event_25,static_open_loop,baseline_locked,raw,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,155687.47503708414,293926.0023341775,48886.56054365227,-187125.08784074563,3966088.3511522505,6785413.702313208,7937896.189666288,0.53125,event_25,static_open_loop,baseline_locked,raw,9.120811753644233e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,149246.1154057805,299773.35859339504,48998.11997910813,-199525.36316672267,3867748.4565164405,6739573.368883002,7694704.572758372,0.5,event_25,static_open_loop,baseline_locked,raw,9.120811753644233e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,140793.85673133147,315050.9540227511,49051.4978711376,-223308.5951625572,3805081.643982294,6691325.673839524,7449220.958501079,0.5,event_25,static_open_loop,baseline_locked,raw,9.120811753644233e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,165338.58324239642,295638.00692671904,47566.08620871407,-177865.50989303668,3914974.3281472577,6209750.720979242,7568589.87907436,0.53125,event_25,forecast_liquidity,baseline_locked,capacity_slack_confidence,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,163057.2784274215,293406.73621261865,47550.32101525769,-177899.77880045483,3860894.3971172287,6186400.805061987,7460824.703022714,0.53125,event_25,forecast_liquidity,baseline_locked,capacity_slack_confidence,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,159123.56817710894,290429.258761851,47523.40638791124,-178829.0969726533,3772788.432698003,6061707.319499242,7301259.926842582,0.53125,event_25,forecast_liquidity,baseline_locked,capacity_slack_confidence,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,151578.15634871682,284409.91978225193,47587.18017571133,-180418.94360924646,3634153.0318277036,5886395.339398889,7036826.038899257,0.53125,event_25,forecast_liquidity,baseline_locked,capacity_slack_confidence,9.120811753644233e-08
