candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,165900.67294108678,295168.7491512596,49007.710982252676,-178275.7871924255,4355871.993406996,7063427.980242533,8729299.089809855,0.546875,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,163994.0084785685,293663.16632340464,48963.96572216245,-178633.1235669986,4258422.360325394,6928267.389851083,8533153.006795108,0.546875,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,161083.418717331,292826.58257325116,48900.363637592214,-180643.52749351237,4122250.6900683404,6956434.735970737,8254123.502372263,0.546875,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,155687.47538011704,293926.00218902953,48886.56052935495,-187125.08733826745,3966088.347975027,6785413.691257991,7937896.290509374,0.53125,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_3__variance_2.73624e-08__path_0,variance,0.0,,3.0,2.73624352609327e-08,0.0,optimal,149246.1094312231,299773.35602058907,48998.12005174685,-199525.36664111284,3867748.485912192,6739573.2119632345,7694703.968241385,0.5,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_10__variance_9.12081e-08__path_0,variance,0.0,,10.0,9.120811753644233e-08,0.0,optimal,140793.86105477595,315050.67828170955,49051.5000363535,-223308.3172632871,3805082.0903987065,6691325.446859621,7449219.6991721345,0.5,event_25,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,9.120811753644233e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,168328.72861484642,301186.6608929393,47692.024783498004,-180549.9570615909,4018845.104907093,6331094.282372212,7918565.48787486,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,baseline_materiality_floor,full,none,0.0,0.0,1.0,9.120811753644233e-08
variance__multiplier_0.1__variance_9.12081e-10__path_0,variance,0.0,,0.1,9.120811753644234e-10,0.0,optimal,165730.916121143,297809.85926727793,47669.287844560546,-179748.23099069548,3951992.099053319,6279680.493396524,7703792.244762223,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,baseline_materiality_floor,full,none,0.0,0.0,1.0,9.120811753644233e-08
variance__multiplier_0.3__variance_2.73624e-09__path_0,variance,0.0,,0.3,2.73624352609327e-09,0.0,optimal,161235.16595562382,293051.9929716018,47630.89143093845,-179447.7184469164,3843208.3299806155,6108247.342084272,7478591.756905082,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,baseline_materiality_floor,full,none,0.0,0.0,1.0,9.120811753644233e-08
variance__multiplier_1__variance_9.12081e-09__path_0,variance,0.0,,1.0,9.120811753644233e-09,0.0,optimal,152582.0841594338,284758.1493120386,47662.07158499089,-179838.1367375957,3662030.584952584,5865269.233101004,7138525.875989475,0.53125,event_25,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,capacity_slack_confidence,minimax_factor_stress,baseline_materiality_floor,full,none,0.0,0.0,1.0,9.120811753644233e-08
