date,daily_gross_pct,cumulative_gross_pct,urgent_daily_gross_pct,medium_daily_gross_pct,small_daily_gross_pct,max_factor_imbalance_pct,event_id,strategy,selected_plan_source,day_index
2028-03-15,5.568946811760952,5.568946811760952,3.034215353488167,2.5347314582610667,1.1718997427431321e-11,3.4373723010730477,event_25,static_open_loop,static_open_loop,1
2028-03-16,6.479217259566815,12.048164071327768,3.533330964181983,2.9458862953730107,1.1823010300641245e-11,3.3007023114979424,event_25,static_open_loop,static_open_loop,2
2028-03-17,8.106045855506354,20.15420992683412,4.6009541603059105,3.505091695188505,1.193627550969235e-11,3.6973365991541236,event_25,static_open_loop,static_open_loop,3
2028-03-20,10.826659068823766,30.980868995657886,6.688642379490117,4.1380166893214625,1.2186463284802294e-11,5.2001471741473235,event_25,static_open_loop,static_open_loop,4
2028-03-21,11.462346484268123,42.44321547992601,7.142857142576951,4.319489341677749,1.3419240025805524e-11,6.738590569932602,event_25,static_open_loop,static_open_loop,5
2028-03-22,11.566282928421744,54.00949840834775,7.142857142819649,4.4234257855864705,1.5623331683386185e-11,7.548061077911592,event_25,static_open_loop,static_open_loop,6
2028-03-23,11.336121068994766,65.34561947734252,7.142857142845043,4.193263926129682,2.0039006873962747e-11,8.593220232202434,event_25,static_open_loop,static_open_loop,7
2028-03-24,11.459420827993082,76.80504030533561,7.14285714285533,4.316563685100758,3.699612938413411e-11,9.201110857611393,event_25,static_open_loop,static_open_loop,8
2028-03-27,9.674114174611518,86.47915447994713,7.1428571428597065,1.7663882657658598,0.7648687659859518,11.088084039878096,event_25,static_open_loop,static_open_loop,9
2028-03-28,13.52084552005288,100.0,7.142857142862859,4.5257439992071647e-10,6.377988376737449,15.763546798029564,event_25,static_open_loop,static_open_loop,10
2028-03-15,3.1031389418160913,3.1031389418160913,1.8310879962744062,1.2720509455415532,1.319389548359645e-13,6.722505429928443,event_25,forecast_liquidity,forecast_liquidity,1
2028-03-16,3.824393443011802,6.927532384827893,2.137911124963588,1.6864823180480808,1.333811485533507e-13,5.255716557162741,event_25,forecast_liquidity,forecast_liquidity,2
2028-03-17,4.998086817165617,11.92561920199351,2.7825335689088218,2.2155532482566587,1.3617283554043416e-13,4.86850030656204,event_25,forecast_liquidity,forecast_liquidity,3
2028-03-20,6.828949664360799,18.754568866354308,3.9879336149119946,2.841016049448665,1.399852041916218e-13,5.249258408597013,event_25,forecast_liquidity,forecast_liquidity,4
2028-03-21,9.223562625379923,27.97813149173423,5.83029035006378,3.393272275315994,1.4810626379064844e-13,6.939846235762823,event_25,forecast_liquidity,forecast_liquidity,5
2028-03-22,11.12143893817959,39.099570429913825,7.0467922766089846,4.0746466615704415,1.631700890031958e-13,8.262440086625727,event_25,forecast_liquidity,forecast_liquidity,6
2028-03-23,12.21378933468085,51.31335976459468,7.677237714990733,4.536551619689929,1.9157233929403597e-13,9.300134274805231,event_25,forecast_liquidity,forecast_liquidity,7
2028-03-24,14.146660475768881,65.46002024036356,8.312886667843548,5.833773807925069,2.6429300212815653e-13,9.019026783545772,event_25,forecast_liquidity,forecast_liquidity,8
2028-03-27,14.207014458791438,79.667034699155,9.597276940480329,4.562217792970501,0.04751972534060513,9.4500109383029,event_25,forecast_liquidity,forecast_liquidity,9
2028-03-28,20.33296530084503,100.00000000000003,11.510335459239581,1.7272924240902217,7.0953374175152275,15.763546798029637,event_25,forecast_liquidity,forecast_liquidity,10
2028-04-03,6.779455983848796,6.779455983848796,3.656482519291882,3.122973463265945,1.290968990497973e-09,3.123806691551163,event_26,static_open_loop,static_open_loop,1
