trial,scenario_mean_pnl_dollars,scenario_pnl_std_dollars,scenario_p05_pnl_dollars,scenario_median_pnl_dollars,scenario_p95_pnl_dollars,scenario_probability_profitable,scenario_loss_var_95_dollars,scenario_loss_cvar_95_dollars,scenario_loss_cvar_95_mean_dollars,scenario_loss_cvar_95_std_dollars,scenario_loss_cvar_95_worst_dollars
profile_high,645091.3536341576,4122449.021808272,-6278415.017988457,814379.9819075989,7029362.409916487,0.5852,6292584.460946187,8576433.95141452,8409097.854036517,151313.49979430166,8576433.95141452
profile_medium,750475.2283654663,4383272.784092819,-6643325.006661389,950136.780350013,7673372.4798114905,0.5932,6665884.705624847,9092726.486012066,8912428.155050661,164815.51367790526,9092726.486012066
profile_low,816982.5893397818,4940578.137577189,-7682520.121243203,1022867.3186338535,8560191.06875847,0.5858,7687743.063058398,10236075.8561243,10008481.026192173,222135.4268601975,10236075.8561243
cvar_profile_high,546664.2628783038,4335799.723859605,-6787565.677582343,668101.1485432616,7385755.26608641,0.5626,6789152.388753523,9100973.774985544,8856456.881624881,251444.86459146673,9120125.97087153
cvar_profile_medium,733419.5162968814,4525936.936276788,-6899042.046749881,934025.8071478043,7873255.986499478,0.5868,6915239.4098445205,9401149.23493692,9181844.468293235,213452.7454107652,9401149.23493692
cvar_profile_low,820292.1605939765,5060721.1011991585,-7822731.182033795,995135.9749712247,8790300.801573338,0.5852,7844295.680486281,10462488.01577441,10228198.650230467,250918.6854753621,10499783.125413612
hybrid_profile_high,642823.4222568566,4123082.0605246825,-6265987.286850135,829418.9673653311,7079703.75786499,0.5846,6268627.043484865,8582201.39902753,8409655.91108908,150760.22786584997,8582201.39902753
hybrid_profile_medium,710017.1028711202,4228792.051639713,-6374748.724296952,893725.2666283951,7325541.5864039315,0.5902,6409930.853808912,8787052.247299869,8603830.475887405,157067.31134470605,8787052.247299869
hybrid_profile_low,815934.5887020128,4926277.380854031,-7672403.637842487,1019531.7866816904,8543467.865235558,0.586,7692463.963705797,10206302.250146408,9978953.021280456,221438.3825815792,10206302.250146408
tail_second_profile_low,815457.6535180836,4919890.77623997,-7650375.192010364,1020585.8996455071,8535039.612420566,0.5866,7659469.4367514495,10192983.373767948,9966604.62777234,220779.7967711994,10192983.373767948
medium_scalar_tca,761801.4566579313,4467161.320442573,-6760814.288086848,970866.4862089346,7802484.248019562,0.5908,6769813.685132881,9270349.592426619,9080926.627936361,166088.66896880415,9270349.592426619
reference_fixed_weight_no_alpha,628196.631476866,4121829.1784936595,-6253446.878074708,798096.3419707284,7024023.400474001,0.5834,6276437.623454778,8591830.304590663,8421929.985210765,152097.86343105402,8591830.304590663
medium_weight_no_alpha,662526.8460272105,4171959.299608376,-6353675.992659027,835160.2977298681,7172120.059566503,0.5852,6356737.244898575,8669899.244740669,8464618.286647184,183201.00903561516,8669899.244740669
medium_weight_no_factor,797539.5275039148,4836227.401174865,-7412282.042718577,992305.7239186108,8387026.1821701,0.5852,7423152.168770236,9994662.576285,9769374.651490605,216864.38288908408,9994662.576285
hybrid_medium_cov1_cvar0.1,747707.9047255239,4369179.757404704,-6653395.818609023,959784.8638599954,7626635.708692191,0.592,6659621.270553196,9063297.162766198,8883650.024181377,164033.85276187467,9063297.162766198
hybrid_medium_cov1_cvar0.3,738518.4448626081,4333768.061125263,-6615506.246155567,975552.8262485481,7538287.607844341,0.5904,6619364.3165807575,8993939.43951962,8813214.279527573,161921.3766347355,8993939.43951962
hybrid_medium_cov1_cvar1,700529.4730115661,4253658.888839083,-6523104.694786052,902749.0031349118,7291649.551693103,0.5876,6525485.120934716,8832304.656061513,8658056.20116423,158992.53329217757,8832304.656061513
hybrid_medium_cov1.5_cvar0.3,719091.7906600958,4259234.573438098,-6466199.973927204,928877.0491671816,7407588.9050974855,0.5906,6490042.54931094,8846051.138288515,8664374.326457836,158448.9381279171,8846051.138288515
hybrid_medium_cov2_cvar0.3,702724.4213508359,4209918.646003729,-6383277.445898541,896697.9547751042,7292186.12031258,0.5896,6390800.0473755365,8746076.673774203,8566721.483029593,155667.89603113374,8746076.673774203
hybrid_medium_cov1.5_cvar1,688389.8925032726,4210088.027047351,-6404104.538901221,872736.431272594,7255546.886595656,0.5892,6407466.306556535,8743970.833137618,8572296.886372298,154991.5129936165,8743970.833137618
medium_event_liquidity,715028.7755594547,4043349.0950237717,-5982799.81550466,886494.2695782826,6927236.806607079,0.5946,5994510.528245683,8412566.439016959,8237015.946893392,139143.83807551317,8412566.439016959
strong_event_liquidity,709618.5390205233,3923192.957241786,-5838426.816085245,873099.1571704204,6762765.10967991,0.594,5845085.067388591,8157491.705920191,7989922.646754259,133244.7115570919,8157491.705920191
