trial,idea,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,scenario_mean_pnl_dollars,scenario_pnl_std_dollars,scenario_p05_pnl_dollars,scenario_median_pnl_dollars,scenario_p95_pnl_dollars,scenario_probability_profitable,scenario_loss_var_95_dollars,scenario_loss_cvar_95_dollars,scenario_loss_cvar_95_mean_dollars,scenario_loss_cvar_95_std_dollars,scenario_loss_cvar_95_worst_dollars,decision
profile_high,Select the highest expected net P&L inside the desk risk budget.,optimal,1034511.5368068817,340372.5864024607,49047.59677026302,645091.3536341579,3781285.6384267183,5914211.054438742,8379277.976513487,0.59375,0.49090909090909085,1.7164696525650829,43.3252170335811,6.0,1.0,1.0,10.0,5.469779548506524,645091.3536341576,4206935.725834429,-6404899.068894137,772566.9925611585,7241531.992817886,0.578,6414098.6366775185,8765405.505033396,8494510.87649784,191594.48243173864,8765405.505033396,keep
profile_medium,Select the highest expected net P&L inside the desk risk budget.,optimal,1107077.699350989,306860.022807344,49742.44817817834,750475.2283654667,3991730.5182039547,5914697.255283639,8852519.339315655,0.59765625,-0.04242424242424241,0.9959992127827041,49.199698830823706,5.0,1.0,1.0,1.0,3.8340010911567495,750475.2283654663,4460272.664606825,-6651760.443952441,908587.2808779483,7687658.935299999,0.5888,6655990.767289298,9256805.86667121,8994168.16256446,202619.7848109633,9256805.86667121,keep
profile_low,Select the highest expected net P&L inside the desk risk budget.,optimal,1201659.0573873327,334204.1070050274,50472.36104252336,816982.5893397819,4523218.087999987,6562939.042690729,9678819.831323752,0.59765625,-0.4545454545454545,0.5109208525262101,58.740995494502556,4.0,1.0,1.0,1.0,8.46150383815152,816982.5893397818,5039810.590207736,-7572910.506875764,1017535.6270346501,8710959.652676374,0.5862,7576789.5465274,10405462.104676949,10103445.752942612,269871.45360163425,10405462.104676949,keep
cvar_profile_high,Penalize worst-tail path P&L using centered fat-tail event scenarios.,optimal,1009973.212935539,331915.1499178777,49114.89237362069,628943.1706440406,4031345.4044546816,5278683.598824431,7623427.832278698,0.56640625,0.8424242424242423,1.5234266838200774,41.399892059493844,5.0,1.0,1.0,1.0,23.87772975127825,628943.1706440403,4437856.782647363,-6716202.0749301715,787999.4328835155,7628476.239607537,0.5718,6721360.188010174,9232870.143156417,8899866.701601153,256353.28423194785,9232870.143156417,discard
cvar_profile_medium,Penalize worst-tail path P&L using centered fat-tail event scenarios.,optimal,1127913.6202016554,317538.16494562,49895.68182412054,760479.7734319149,4319362.385121032,5771874.406924083,8470157.168636393,0.5859375,-0.06666666666666665,0.8712857242167462,51.19212038567171,5.0,1.0,1.0,1.0,21.00190304254567,760479.7734319145,4799689.571914529,-7195119.307054156,935289.1229178067,8332327.958429242,0.5814,7210181.746296054,9938760.369427161,9582593.199492266,291089.91838625487,9938760.369427161,discard
cvar_profile_low,Penalize worst-tail path P&L using centered fat-tail event scenarios.,optimal,1212937.0141469555,339461.0121907887,50583.04517469929,822892.9567814674,4697657.388835195,6331927.474824392,9601997.862789104,0.60546875,-0.43030303030303024,0.4700321434924306,59.75518026705345,4.0,1.0,1.0,1.0,14.67060921814679,822892.9567814672,5217974.086613128,-7899292.089847112,1057370.0342167404,9019256.303319294,0.5838,7903706.524987392,10743784.336024145,10417297.422104938,298542.45027800195,10743784.336024145,discard
hybrid_profile_high,Automatically price covariance risk plus only the excess scenario tail.,optimal,1031666.7929522597,338200.7871220398,49036.50696474492,644429.498865475,3782739.4546674853,5855651.514884342,8244653.061678217,0.5859375,0.5030303030303029,1.740196273364825,43.42513185966321,6.0,1.0,1.0,10.0,6.69826381616189,644429.4988654745,4207649.095563598,-6412502.457019707,775789.1919113088,7216094.373880784,0.579,6423983.902222985,8770290.198743708,8491160.551776689,196155.79170048033,8770290.198743708,discard
hybrid_profile_medium,Automatically price covariance risk plus only the excess scenario tail.,optimal,1068645.5833809962,308807.1127306839,49379.04354213884,710459.4271081735,3863115.1269584405,5820352.592674895,8523787.490344007,0.59375,0.49090909090909085,1.3501675733788685,45.053027624359046,6.0,1.0,1.0,4.0,3.2967737347222874,710459.4271081731,4305927.9810635075,-6540636.881440812,870432.4495018438,7382739.872798128,0.5856,6541874.126071332,8946675.239728874,8676497.489016807,193631.64144614126,8946675.239728874,keep
hybrid_profile_low,Automatically price covariance risk plus only the excess scenario tail.,optimal,1199598.938103736,333028.9926052359,50455.08287774658,816114.8626207535,4511492.2802000465,6524197.604236798,9642379.222621422,0.59765625,-0.4545454545454545,0.5199700898753552,58.5125391192297,4.0,1.0,1.0,1.0,8.376535608238893,816114.8626207534,5027234.765912098,-7552003.273784742,1011812.7009682782,8689096.616659299,0.586,7556172.147897302,10380611.22171449,10078521.725906588,269205.69997441955,10380611.22171449,keep
medium_scalar_tca,Ablate date-by-name TCA and solve with target-weighted basket medians.,optimal,1123585.386896622,311821.3023894349,49962.62784925525,761801.4566579318,4067154.91410903,6096264.48154403,8972967.014304461,0.59375,-0.2727272727272727,0.8182320999103536,52.031857953594105,5.0,1.0,1.0,1.0,3.5243283660146245,761801.4566579313,4544876.853804666,-6816777.688283338,926263.0862165398,7822591.349642842,0.5874,6823052.422332043,9428336.383104386,9162990.76313441,208916.48368257945,9428336.383104386,discard
