event_id,as_of,realized_net_pnl_delta_dollars,realized_net_pnl_delta_bps,realized_impact_cost_delta_dollars,within_event_drawdown_delta_bps,early_factor_imbalance_delta_pp,late_early_ratio_delta,daily_gross_spearman_delta,nondecreasing_transitions_delta,urgent_start_delta_days,small_start_delta_days,p95_realized_participation_delta,max_realized_participation_delta
event_25,2028-03-14 16:00:00,151282.4834590191,3.1051412861046543,-10991.175228733104,-0.6248198972828618,-1.7336467705885794,0.5751199462193457,0.1575757575757577,1.0,0.0,0.0,-0.0023663359150098984,-0.008594921812514464
event_26,2028-03-31 16:00:00,347736.40159530053,7.137446666570208,-17591.188018718385,-6.944316772904919,-2.188931953309338,0.506171614562525,0.23030303030303023,1.0,0.0,1.0,-0.001251175012383407,-0.008765161294229107
event_27,2028-04-19 16:00:00,721863.5848984886,14.816576044714466,-28830.01344438846,-14.81657604471448,-1.4711094235471474,0.45621808032254973,0.47272727272727255,0.0,0.0,0.0,-0.01298019318618833,-0.0055762065524509186
event_28,2028-05-08 16:00:00,43552.330549326725,0.8939312510124537,-19310.08833971835,-6.14586169460604,-2.756522772671209,0.4489020016514478,0.35151515151515145,2.0,0.0,0.0,-0.003631594362758145,-0.025410888444018856
event_29,2028-05-25 16:00:00,317979.5091353771,6.526673011809869,-22771.874512782553,-9.922582309966103,-1.565875421886067,0.3911759386553344,0.5939393939393939,0.0,0.0,0.0,-0.007889009665051808,-0.010345481427564224
event_30,2028-06-13 16:00:00,-968287.8578219544,-19.874545521797103,-20949.086079854256,-0.5743880116222154,-1.7264567754188023,0.5531601668462338,0.46060606060606046,2.0,0.0,0.0,-0.004660141408110288,-0.007163226973441919
event_31,2028-06-30 16:00:00,-157840.05242710095,-3.2397383503099633,-10269.673866087978,-6.012706824537105,-1.6926743651932097,0.5000716909323293,0.16969696969696968,1.0,0.0,0.0,0.00025305078032399064,-0.001865119391576242
event_32,2028-07-19 16:00:00,-510519.4623680636,-10.478642495239384,-21273.514992020035,2.7958286526699254,-1.6437370023771871,0.4419376503111193,0.5454545454545454,2.0,0.0,0.0,-0.005356332902865205,-0.010091234138156047
event_33,2028-08-07 16:00:00,-392271.09645283734,-8.051541388605035,-12775.481411001529,0.2077257607295877,-3.3598750375716744,0.7483555322793545,0.012121212121212088,1.0,0.0,1.0,-0.004398738193377688,-0.00381079936959558
event_34,2028-08-24 16:00:00,-91576.40927807009,-1.8796471526697474,-14010.356729994528,-5.217581242784092,-1.9194507126537013,0.5904889260042909,0.16969696969696968,0.0,0.0,1.0,-0.006617124159496557,-0.01581305206939712
event_35,2028-09-12 16:00:00,707712.4149707649,14.526116891846563,-13542.098080323223,-13.201669540479884,-2.747185908297885,0.5306362212407627,0.08484848484848484,0.0,0.0,1.0,-0.0012777826219240451,-0.006762128828133554
event_36,2028-09-29 16:00:00,113961.03874168673,2.339101780412289,-16645.207325232914,-9.546483813394943,-2.7371544456968286,0.4867902968049671,0.303030303030303,0.0,0.0,0.0,-0.0042889304691406255,-0.017562648390954158
