optimization_seed,profile,path_model,runtime_speedup,expected_net_pnl_delta_dollars,pnl_vol_delta_pct,scenario_loss_cvar_95_mean_delta_pct,early_factor_imbalance_delta_pp,late_early_ratio_delta,urgent_start_delta_days,small_start_delta_days,decision,decision_reason
20260724,low,mean,27.762815659955795,-597.9303441001102,-0.17705348103920215,-0.14808845182058272,-0.20813382622263443,0.0041258158013598445,0.0,0.0,keep,All acceptance gates passed.
20260724,medium,mean,27.762815659955795,1048.5700929299928,0.05427561905200218,0.07397723216142627,-0.0418370359940865,-0.005291181094965847,0.0,0.0,keep,All acceptance gates passed.
20260731,low,mean,32.80954364277661,-2291.5082619714085,-0.5861896810420375,-0.4658626465992244,-0.8992722888738891,0.011057238658726432,0.0,0.0,keep,All acceptance gates passed.
20260731,medium,mean,32.80954364277661,2474.852540146676,0.17608245567888314,0.322120678761717,-0.8324595852638601,-0.03291080680455516,0.0,0.0,discard,Failed: cvar_within_0.25pct.
20260807,low,mean,45.455028684159004,-2090.7061981384177,-0.5199857671059904,-0.39732649731948344,-0.6737182844137326,0.009894386685803003,0.0,0.0,keep,All acceptance gates passed.
20260807,medium,mean,45.455028684159004,2618.0108681842685,0.2223267709054122,0.40079725916251085,-0.7802613127762719,-0.064916219095839,0.0,1.0,discard,Failed: cvar_within_0.25pct.
20260814,low,mean,69.96228125656008,-141.50555717281532,-0.043142439914078956,-0.03515275528845896,-0.04932615377917848,0.0007397058520687283,0.0,0.0,keep,All acceptance gates passed.
20260814,medium,mean,69.96228125656008,-428.6423846395919,-0.026621489904499196,-0.018094341879981712,-0.1359722494693325,-0.0008175524891942398,0.0,0.0,keep,All acceptance gates passed.
20260821,low,mean,33.732861342618264,-527.8996755307307,-0.15579088502328808,-0.13203375569736941,-0.11723063023140412,0.003687366033860995,0.0,0.0,keep,All acceptance gates passed.
20260821,medium,mean,33.732861342618264,-938.5374015859561,-0.06115252436256213,0.016215815142217593,0.050468038236851864,-0.005904052218304701,0.0,0.0,keep,All acceptance gates passed.
