optimization_seed,model,profile,frontier_runtime_seconds,stress_variance_scale,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,scenario_loss_cvar_95_mean_dollars,scenario_loss_cvar_95_std_dollars,scenario_loss_cvar_95_worst_dollars
20260724,hybrid_96,medium,23.909489540965296,,1068466.0517047686,309070.86469373165,49378.08413991664,710017.1028711202,3862262.361803889,5842290.083461652,8532887.628237147,0.59375,0.49090909090909085,1.346942717560316,45.18647410392358,6.0,1.0,1.0,4.0,3.224919454513425,8603830.475887405,157067.31134470605,8787052.247299869
20260724,stress_mean,medium,0.8612054999684915,0.15819141663011324,1070199.4718146755,309746.94839128153,49386.85045934376,711065.6729640502,3864358.6286101704,5872882.72266107,8588214.692463415,0.59375,0.49090909090909085,1.34165153646535,45.17972549211369,6.0,1.0,1.0,4.0,3.1830824185193385,8610195.351533327,157542.52104827383,8792539.61116286
20260724,hybrid_96,low,23.909489540965296,,1199457.0236753402,333068.49146524986,50453.94350807757,815934.5887020129,4509083.549232159,6520135.923059593,9642097.27824429,0.59765625,-0.4545454545454545,0.520523781540182,58.49999735563056,4.0,1.0,1.0,1.0,8.201059501969196,9978953.021280456,221438.3825815792,10206302.250146408
20260724,stress_mean,low,0.8612054999684915,0.15819141663011324,1198681.6929149956,332899.50890378293,50445.52565329987,815336.6583579128,4501100.059845277,6531689.953369756,9642316.781159764,0.6015625,-0.4545454545454545,0.5246495973415418,58.405561644080954,4.0,1.0,1.0,1.0,7.992925675746561,9964175.344243338,220437.46020566387,10189791.801526636
20260731,hybrid_96,medium,25.591474124928936,,1060903.9926880829,312538.0022430388,49333.21974938177,699032.7706956624,3841779.1627484686,6304472.805718452,8265859.731217285,0.61328125,0.5878787878787878,1.3905931122954298,44.7205425830259,6.0,1.0,1.0,6.0,4.269194402870113,8551420.026956543,162392.55580114495,8741213.536474366
20260731,stress_mean,medium,0.7800009169150144,0.4296496642173705,1065706.289358982,314829.57825161045,49369.087871562326,701507.623235809,3848543.8618399957,6228070.247962119,8317132.855343819,0.61328125,0.43030303030303024,1.3576823054908747,45.694950919833694,5.0,1.0,1.0,6.0,3.436734817606253,8578965.91919114,154790.09799460927,8761331.554020973
20260731,hybrid_96,low,25.591474124928936,,1193175.6604624153,330410.9527478769,50395.207310574355,812369.5004039641,4464500.418774856,7437488.177723086,10066021.329385541,0.59765625,-0.406060606060606,0.5517986954417068,57.64792110271322,4.0,1.0,1.0,1.0,7.572377879096945,9891058.03270247,216444.1715184891,10117447.44885371
20260731,stress_mean,low,0.7800009169150144,0.4296496642173705,1190904.2467955695,330450.88715416397,50375.36749941285,810077.9921419927,4438329.97800992,7226217.403270896,9996119.989057656,0.6015625,-0.406060606060606,0.5628559341004332,57.533994502304054,4.0,1.0,1.0,1.0,6.673105590223056,9844979.287974657,213097.88137712708,10065530.405575098
20260807,hybrid_96,medium,26.06180733407382,,1061677.4103678167,312803.96126654686,49319.79024360411,699553.6588576657,3842704.67162892,6906656.180422216,9146624.083166081,0.6015625,0.5393939393939393,1.412110562651702,44.68793700016725,6.0,1.0,1.0,5.0,4.523009351434275,8547860.146232551,161022.446736482,8734656.091890229
20260807,stress_mean,medium,0.5733536659972742,0.4955989787319018,1066279.2147634698,314734.37311452144,49373.17192309842,702171.66972585,3851248.032840784,7020000.185414971,9216358.343316207,0.59375,0.43030303030303024,1.347194343555863,45.800635719643836,5.0,1.0,1.0,6.0,3.7427480386580028,8582119.735415695,152154.10386714645,8759489.449987693
