event_id,strategy,plan_selection_policy,selected_plan_source,selection_reason,coefficient_policy,alpha_policy,factor_policy,specific_risk_fraction,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,forecast_profit_floor_dollars,forecast_profit_floor_slack_dollars,forecast_alpha_floor_dollars,forecast_alpha_floor_slack_dollars,risk_aversion,liquidity_forecast_quantile,frontier_selected_inventory_risk_weight,inventory_risk_weight,risk_budget_dollars
event_97,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,4063492.0525478385
event_98,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,4004818.1641952028
event_99,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,9.120811753644233e-08,9.120811753644233e-08,3990723.6308354465
event_100,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,4.958874012952752e-08,4.958874012952752e-08,4343906.248726311
event_101,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,2.8273431340653847e-08,2.8273431340653847e-08,4310942.952646654
event_102,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,3.0023526091194015e-08,3.0023526091194015e-08,4301849.653176926
event_103,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,2.712067181400579e-08,2.712067181400579e-08,4304014.371768336
event_104,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,4.34883048879803e-08,4.34883048879803e-08,4345541.584090551
event_105,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,2.84222492550119e-08,2.84222492550119e-08,4240275.739325642
event_106,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,3.217471078482388e-08,3.217471078482388e-08,4319244.368186657
event_107,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,1.212688668902375e-07,1.212688668902375e-07,3984606.4648235524
event_108,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,baseline_locked,raw,barra,1.0,none,flat,none,0.0,0.0,0.0,,,,,medium,0.5,1.611139953715645e-08,1.611139953715645e-08,4242731.931299227
