event_id,as_of,realized_net_pnl_delta_dollars,realized_net_pnl_delta_bps,realized_impact_cost_delta_dollars,within_event_drawdown_delta_bps,early_factor_imbalance_delta_pp,late_early_ratio_delta,daily_gross_spearman_delta,nondecreasing_transitions_delta,urgent_start_delta_days,small_start_delta_days,p95_realized_participation_delta,max_realized_participation_delta,control_net_pnl_bps,control_net_pnl_dollars,challenger_net_pnl_bps,challenger_net_pnl_dollars,pnl_recovery_vs_control_bps,pnl_recovery_vs_control_dollars
event_97,2031-10-15 16:00:00,-184643.12997404393,-3.7898836201568997,-1978.904392755765,3.1445659185192625,-3.296879568858674,0.2657394089779228,0.12121212121212122,-1.0,0.0,0.0,-0.009198353674519322,-0.008226396775696795,-63.75291050991482,-3106041.80004305,-65.66687236624959,-3199290.0216836804,-1.9139618563347724,-93248.22164063016
event_98,2031-11-03 16:00:00,-103429.36717498861,-2.1229344658248976,-4356.081279566628,-6.7360258646179645,-4.109365058226759,0.29498094783706463,0.0121212121212122,1.0,0.0,0.0,-0.001754672635245716,-0.0003194452941061021,98.043667577572,4776687.484379308,99.83938081021475,4864174.633073663,1.795713232642754,87487.14869435504
event_99,2031-11-20 16:00:00,7168.512836123118,0.14713696297461176,-9623.270938135684,0.8058036003485896,-3.655997644962652,0.28753437270561344,0.10909090909090913,2.0,0.0,0.0,0.000646867230087847,-0.02760196822232748,9.664285285999865,470843.9791339135,9.011612119715991,439045.7424725632,-0.6526731662838738,-31798.236661350355
event_100,2031-12-09 16:00:00,143705.85138232354,2.9496274914270018,15579.5634069675,-1.5356547072331352,-1.6211214906374765,0.0002918964948652736,-0.04848484848484852,1.0,0.0,0.0,-0.0018578902558870763,-0.002789544219708104,11.634075171099134,566812.1423359499,10.032880666069156,488801.9460508893,-1.6011945050299783,-78010.1962850606
event_101,2031-12-26 16:00:00,-726581.5047994577,-14.91341348110545,-9822.720934661687,0.14877381846412874,-2.0057686621732813,0.1723924436493125,0.27878787878787875,1.0,0.0,0.0,-0.0020896459793307842,-0.019371354932644247,3.1994313541452732,155876.29557395773,1.286126035736657,62660.060461089946,-1.9133053184086162,-93216.23511286778
event_102,2032-01-14 16:00:00,-522143.5286976341,-10.717231705616456,-12742.832284234231,-9.706635843580848,-1.9610947660690456,0.22675116195599698,0.3636363636363636,0.0,0.0,0.0,-0.004465745216453737,-0.0013027391790356585,120.88094501864515,5889319.641308392,119.34602759456192,5814538.4644070575,-1.5349174240832326,-74781.1769013349
event_103,2032-02-02 16:00:00,-71988.50977582578,-1.4775966702755703,-7245.783999231935,-0.6819075391373133,-2.2310168913130184,0.1371827678199602,0.3515151515151515,1.0,0.0,0.0,-0.000627557211326818,-0.012695032802482659,-14.411839250233992,-702144.8082714002,-17.640558390133187,-859448.0047672889,-3.2287191398991943,-157303.19649588875
event_104,2032-02-19 16:00:00,-171746.22090266692,-3.5251687377394703,-2873.8313114491175,-1.6439920904783385,-1.357237775792794,0.067343321412903,0.21818181818181817,1.0,0.0,0.0,0.0002867033530337404,-0.0013741957589822884,26.702271058503015,1300934.645970267,26.62474376961492,1297157.5164556392,-0.07752728888809557,-3777.129514627857
event_105,2032-03-09 16:00:00,-393648.70131426305,-8.07981735045696,-10940.449353925418,0.48798850590470977,-1.8497231894860944,0.17369606279596472,0.27878787878787875,1.0,0.0,0.0,0.0020437697659092674,-0.0063892578915525355,-32.750127977750296,-1595586.2350759946,-38.82814048518833,-1891707.0044383756,-6.078012507438032,-296120.76936238096
event_106,2032-03-26 16:00:00,468551.0350521782,9.617221573320563,-8234.81570253399,-8.967494323040533,-2.340952253981172,0.2032685971516054,0.4727272727272727,2.0,0.0,0.0,0.0025281728885197946,-0.015050220820939583,-35.670974938124644,-1737889.8989854327,-35.07501117052593,-1708854.5442280236,0.5959637675987111,29035.354757409077
event_107,2032-04-14 16:00:00,279684.7415562277,5.740655614865098,-8404.58750460745,-6.313473475093009,-4.104891503480852,0.2810328038659393,0.1333333333333333,0.0,0.0,0.0,-0.011141553399571652,-0.0017816688592029728,36.34437422622397,1770697.912301632,40.95918150341083,1995531.322846176,4.614807277186863,224833.410544544
event_108,2032-05-03 16:00:00,-872271.3548114081,-17.903763440299834,-21887.461614635307,-1.4852623757765713,-3.993383863062632,0.4117555516929745,0.4727272727272727,1.0,0.0,0.0,-0.00907798407156965,-0.013190396477522612,8.662732478179183,422048.3263368899,9.261622130776408,451226.2302114267,0.598889652597224,29177.9038745368
