event_id,date,day_index,strategy,specific_risk_fraction,raw_factor_variance_dollars2,raw_specific_variance_dollars2,priced_specific_variance_dollars2,total_priced_variance_dollars2,raw_specific_variance_share
event_97,2031-10-16,1,static_open_loop,1.0,220887056.25803486,9981212914.544716,9981212914.544716,10202099970.802752,0.9783488637741063
event_97,2031-10-17,2,static_open_loop,1.0,1357378731.8872554,46619782435.6479,46619782435.6479,47977161167.53516,0.9717078147423663
event_97,2031-10-20,3,static_open_loop,1.0,6521947821.32296,127632632783.89316,127632632783.89316,134154580605.21613,0.9513848294117109
event_97,2031-10-21,4,static_open_loop,1.0,29654418259.99427,302531652325.1428,302531652325.1428,332186070585.1371,0.9107294950454762
event_97,2031-10-22,5,static_open_loop,1.0,73479544601.86511,576423601325.3923,576423601325.3923,649903145927.2574,0.8869376997752069
event_97,2031-10-23,6,static_open_loop,1.0,132722361770.92784,943189931066.9376,943189931066.9376,1075912292837.8655,0.8766420249546043
event_97,2031-10-24,7,static_open_loop,1.0,225904348542.49924,1391224351374.7705,1391224351374.7705,1617128699917.2698,0.8603052752980909
event_97,2031-10-27,8,static_open_loop,1.0,443440699881.6771,1851583663223.8745,1851583663223.8745,2295024363105.552,0.8067817026213927
event_97,2031-10-28,9,static_open_loop,1.0,940222509692.0398,2344379178635.227,2344379178635.227,3284601688327.2666,0.7137483935926301
event_97,2031-10-29,10,static_open_loop,1.0,2205519119999.8735,2875439159999.9277,2875439159999.9277,5080958279999.801,0.565924575944371
event_97,2031-10-16,1,full_specific_control,1.0,44465941.49267087,6007433116.010436,6007433116.010436,6051899057.503107,0.9926525639191648
event_97,2031-10-17,2,full_specific_control,1.0,296285815.1265842,29881950717.349144,29881950717.349144,30178236532.475727,0.990182136228943
event_97,2031-10-20,3,full_specific_control,1.0,1659493344.0575035,86095055988.83664,86095055988.83664,87754549332.89415,0.9810893753466584
event_97,2031-10-21,4,full_specific_control,1.0,8814029077.240545,212552066292.167,212552066292.167,221366095369.40753,0.9601834731622654
event_97,2031-10-22,5,full_specific_control,1.0,29408733506.91782,440794375694.1499,440794375694.1499,470203109201.06775,0.9374552551196719
event_97,2031-10-23,6,full_specific_control,1.0,59539086154.41748,775769638509.7926,775769638509.7926,835308724664.2101,0.9287220588072369
event_97,2031-10-24,7,full_specific_control,1.0,110095117175.34805,1215975416713.3516,1215975416713.3516,1326070533888.6997,0.916976424434608
event_97,2031-10-27,8,full_specific_control,1.0,278292726102.7739,1685669749507.8745,1685669749507.8745,1963962475610.6484,0.8583003852880411
event_97,2031-10-28,9,full_specific_control,1.0,718766358521.4403,2232089998526.5376,2232089998526.5376,2950856357047.978,0.756421095589861
event_97,2031-10-29,10,full_specific_control,1.0,2205519120008.0596,2875439160000.4536,2875439160000.4536,5080958280008.514,0.565924575943504
