event_id,as_of,strategy,plan_selection_policy,selected_plan_source,selection_reason,selection_profit_floor_dollars,selection_candidate_forecast_net_pnl_dollars,selection_candidate_profit_slack_dollars,selection_candidate_hard_passed,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,forecast_profit_floor_dollars,forecast_profit_floor_slack_dollars,forecast_alpha_floor_dollars,forecast_alpha_floor_slack_dollars,factor_stress_fraction,specific_risk_fraction,alpha_confidence,mean_capacity_slack_fraction,solver,risk_aversion,liquidity_forecast_quantile,forecast_rmse_bps,selected_inventory_risk_weight,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_97,2031-10-15 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.738002912959309,9.120811753644233e-08,-454060.0799073117,-2669263.830354676,296609.64260631206,48773.418748649114,-3014646.8917096364,487200000.00000006,-61.87698874609269,3179206.4322173996,65.25464762350984,5.061156116425991e-08,0.11489458222779596,0.09884234358973713,11667.325473217861,0.6727272727272726,1.6089953282465541,43.271954489248124,7.0,1.0,1.0,9.0,4.666284628666502,0.01023013933445327,1.760309778106295e-05,4.1676685214042664e-08
event_98,2031-11-03 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.4215761968503697,9.120811753644233e-08,-580582.5392283739,5296004.359997362,280127.8157319033,48272.544016806736,4967604.000248652,487200000.00000006,101.96231527603965,1513742.2883397439,31.070244013541537,4.011963028460741e-08,0.10767063652605843,0.09226466635713373,6027.959836016933,0.7333333333333332,1.7390925116954108,42.12618760870523,6.0,1.0,1.0,9.0,6.153438735926783,0.007899024014477618,1.3592088185872738e-05,3.2247044146060944e-08
event_99,2031-11-20 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.6072429221795956,9.120811753644233e-08,-498577.0695485215,778806.9728131371,298688.2182881393,48241.52488855799,431877.22963644005,487200000.00000006,8.86447515674138,1766649.207156282,36.26127272488263,4.030880518257618e-08,0.1263168335081421,0.09119450571313763,25000.785194425407,0.6484848484848483,1.6962813164106263,42.843978041803,5.0,1.0,1.0,10.0,5.289004143848039,0.008823756710626185,1.433091704393482e-05,3.585591912269592e-08
event_100,2031-12-09 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.987248488867349,4.958874012952752e-08,1723264.61476306,717437.5806637993,321885.5139582115,50455.97203702211,345096.0946685658,487200000.00000006,7.083253174642154,1615085.9493156772,33.15036841780946,2.890737960115075e-07,0.11966259311268072,0.10038484657248192,13789.881033261161,-0.29696969696969694,0.8316667612558255,53.65873468120812,4.0,1.0,1.0,1.0,4.229129953466817,0.018251011613756418,5.2596982667722404e-05,1.4691613614559174e-07
event_101,2031-12-26 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.354439214846237,2.8273431340653847e-08,839895.8202322829,1192436.266908188,353691.89794031734,49502.803707323335,789241.5652605477,487200000.00000006,16.19953951684211,3010836.261445616,61.79877383919572,1.1699739843606949e-07,0.1387473960063999,0.10758566587842072,39908.93856501779,-0.05454545454545454,0.9604067780928702,50.29933113226498,4.0,1.0,1.0,1.0,5.321167937153985,0.02532151428749785,1.5531841417646123e-05,8.498318493366241e-08
event_102,2032-01-14 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.0788627723394586,3.0023526091194015e-08,948078.0253485291,6687189.199494562,300792.9759438482,49714.23044602254,6336681.993104692,487200000.00000006,130.06325930017837,1933824.6747424828,39.692624686832566,2.7495843823999166e-07,0.11422418950435348,0.09791901176906392,8287.12147958052,-0.006060606060606061,0.9838204503620114,49.30587885072248,6.0,1.0,1.0,1.0,4.508939978119326,0.009668687620433047,2.113779454844097e-05,6.216578185558319e-08
event_103,2032-02-02 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.529815594361369,2.712067181400579e-08,787540.8447126502,-302426.15745789674,434980.94683967286,50052.39069389401,-787459.4949914631,487200000.00000006,-16.162961719857616,3463687.689091444,71.09375388118727,1.0672374628484249e-07,0.16846606733314884,0.13894731481264985,39562.028858939186,-0.07878787878787878,0.9952088524940901,50.15591733297863,5.0,1.0,1.0,1.0,5.443472761028187,0.006848930905107409,1.7783601848028448e-05,2.4563632905483246e-08
event_104,2032-02-19 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,5.634729922020432,4.34883048879803e-08,1514188.2224912457,1924627.0746536609,404967.93686592864,50755.40042942553,1468903.737358306,487200000.00000006,30.14991250735439,971619.7153086815,19.94293340124551,6.529153324663639e-07,0.14885521441804966,0.12595761764911875,31674.734774559256,-0.01818181818181818,0.9646345901250023,50.4900979223503,6.0,1.0,1.0,1.0,4.294115485914642,0.023471117805456743,0.0001523648386780599,1.962762326002121e-07
event_105,2032-03-09 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.60963614346175,2.84222492550119e-08,818467.7095125162,-1083834.0123693761,363825.93771140714,50398.353043329684,-1498058.3031241125,487200000.00000006,-30.74832313473137,2507598.8168711467,51.46959804743732,6.931077223271132e-08,0.14078759937467636,0.112782459947589,37007.38436077807,-0.13939393939393938,0.8778558120846816,51.325932242373874,5.0,1.0,1.0,1.0,4.3121848705832795,0.0018832769128493965,1.6614742792804916e-05,1.83936208486557e-08
event_106,2032-03-26 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.375852920663059,3.217471078482388e-08,1040283.0183292482,-1801147.0337190786,326691.38218487345,49567.16337624942,-2177405.579280202,487200000.00000006,-44.692232743846496,2638696.608675003,54.16043942272173,5.490437615662813e-08,0.12009738578974816,0.09801540457460517,16722.893606557904,-0.2121212121212121,0.9182616139012715,51.05928621045114,4.0,1.0,1.0,1.0,4.552845934229715,0.012337129635852762,3.0162091463188325e-06,3.771856427192688e-08
